Course ID,Club Name,Course Name,City,State,
24176,'16 MST,'16 MST,Birmingham,AL,1
26738,'18 U.S. Women's Open,'18 U.S. Women's Open,Shoal Creek,AL,2
11318,Alpine Bay Golf Club,Alpine Bay Golf Club,Alpine,AL,3
11385,Andalusia Country Club,Andalusia Country Club,Andalusia,AL,4
11323,Anniston Country Club,Anniston Country Club,Anniston,AL,5
11399,Aroostook Golf Course,Aroostook Golf Course - Kolomi,Montgomery,AL,6
11400,Aroostook Golf Course,Aroostook Golf Course - River Run,Montgomery,AL,7
11328,Arrowhead Country Club,Arrowhead Country Club,Montgomery,AL,8
11364,Atmore Country Club,Atmore Country Club,Atmore,AL,9
11270,Auburn University Club,Auburn University Club,Auburn,AL,10
11268,Azalea City Golf Course,Azalea City Golf Course,Mobile,AL,11
11378,Ballantrae Golf Course,Ballantrae Golf Course,Pelham,AL,12
11254,Becky Peirce Municipal Golf Course,Becky Peirce Municipal Golf Course,Huntsville,AL,13
11279,Bent Brook Golf Course,Bent Brook Golf Course - Brook/Graveyard,Bessemer,AL,14
17721,Bent Brook Golf Course,Bent Brook Golf Course - Brook/Windmill,Bessemer,AL,15
11280,Bent Brook Golf Course,Bent Brook Golf Course - Graveyard/Windmill,Bessemer,AL,16
11263,Big Spring Lake Country Club,Big Spring Lake Country Club,Albertville,AL,17
18071,Blackberry Trail,Blackberry Trail,Florence,AL,18
11406,Boaz Country Club,Boaz Country Club,Boaz,AL,19
11393,Briarmeade Golf Club,Briarmeade Golf Club,Glencoe,AL,20
11295,Broken Arrow Golf Course,Broken Arrow Golf Course,Scottsboro,AL,21
13948,Brundidge Country Club,Brundidge Country Club,Brundidge,AL,22
11322,Burningtree Country Club,Burningtree Country Club,Decatur,AL,23
11266,Cahaba Falls,Cahaba Falls,Centerville,AL,24
14989,Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Canyon/Sherling,Greenville,AL,25
14990,Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Loblolly / Canyon,Greenville,AL,26
14988,Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Sherling / Loblolly,Greenville,AL,27
11335,Cane Creek Golf Course,Cane Creek Golf Course,Anniston,AL,28
11348,Canebrake Golf Club,Canebrake Golf Club,Athens,AL,29
11277,Capitol Hill Golf Course,Capitol Hill Golf Course - Judge,Prattville,AL,30
11276,Capitol Hill Golf Course,Capitol Hill Golf Course - Legislator,Prattville,AL,31
11278,Capitol Hill Golf Course,Capitol Hill Golf Course - Senator,Prattville,AL,32
11374,Castle Pines Country Club,Castle Pines Country Club,Gardendale,AL,33
11376,Cedar Ridge Golf Course,Cedar Ridge Golf Course,Decatur,AL,34
11373,Cherokee Country Club,Cherokee Country Club,Centre,AL,35
11301,Cherokee Ridge Country Club,Cherokee Ridge Country Club,Union Grove,AL,36
11334,Chesley Oaks Golf Course,Chesley Oaks Golf Course,Cullman,AL,37
11396,Choctaw Country Club,Choctaw Country Club,Butler,AL,38
14951,Cider Ridge Golf Club,Cider Ridge Golf Club,Oxford,AL,39
11408,Clanton Country Club,Clanton Country Club,Clanton,AL,40
11407,Colonial Golf Club,Colonial Golf Club,Meridianville,AL,41
11382,Coosa Pines Country Club,Coosa Pines Country Club,Childersburg,AL,42
11272,Cottonwood Golf Club,Cottonwood Golf Club,Montgomery,AL,43
11359,Country Club of Alabama,Country Club of Alabama,Eufaula,AL,44
11370,Country Club of Birmingham,Country Club of Birmingham - East,Birmingham,AL,45
11271,Country Club of Birmingham,Country Club of Birmingham - West Course,Birmingham,AL,46
14758,Country Club of Mobile,Country Club of Mobile - CC of Mobile,Mobile,AL,47
20907,Craft Farms,Craft Farms - Cotton Creek Club,Gulf Shores,AL,48
11401,Craft Farms,Craft Farms - Cypress Bend,Gulf Shores,AL,49
14168,Cross Creek Golf Course,Cross Creek Golf Course,Hanceville,AL,50
11294,Cumberland Lake Golf Course,Cumberland Lake Golf Course,Pinson,AL,51
11269,Cypress Lakes,Cypress Lakes,Muscle Shoals,AL,52
11306,Cypress Tree Golf Course,Cypress Tree Golf Course - River Course,Maxwell AFB,AL,53
11307,Cypress Tree Golf Course,Cypress Tree Golf Course - The University Course,Maxwell AFB,AL,54
11305,Decatur Country Club,Decatur Country Club,Decatur,AL,55
20654,Deer Haven Golf Club,Deer Haven Golf Club,Camden,AL,56
11333,Demopolis Country Club,Demopolis Country Club,Demoplois,AL,57
11404,DeSoto Country Club,DeSoto Country Club,Ft. Payne,AL,58
14887,Dothan Country Club,Dothan Country Club,Dothan,AL,59
20905,Dothan National Golf Club,Dothan National Golf Club,Dothan,AL,60
11388,Enterprise Country Club,Enterprise Country Club,Enterprise,AL,61
11362,Eufaula Country Club,Eufaula Country Club,Eufaula,AL,62
11365,Evergreen Golf Club,Evergreen Golf Club,Evergreen,AL,63
11313,FarmLinks Golf Club,FarmLinks Golf Club,Sylacauga,AL,64
11347,Fayette Country Club,Fayette Country Club,Fayettte,AL,65
11298,Fox Ridge Golf Course,Fox Ridge Golf Course,Ozark,AL,66
11356,Fox Run Golf Course,Fox Run Golf Course,Meridianville,AL,67
11281,Frank House Mun. Golf Course,Frank House Mun. Golf Course,Bessemer,AL,68
11319,Gadsden Country Club,Gadsden Country Club,Gadsden,AL,69
11351,Gateway Park Golf Course,Gateway Park Golf Course,Montgomery,AL,70
20655,General Golf Course,General Golf Course,Lawrence,AL,71
11257,Glenlakes Golf Club,Glenlakes Golf Club - Dunes/Lakes,Foley,AL,72
21047,Glenlakes Golf Club,Glenlakes Golf Club - Lakes/Lakes,Foley,AL,73
11258,Glenlakes Golf Club,Glenlakes Golf Club - Lakes/Vista,Foley,AL,74
11259,Glenlakes Golf Club,Glenlakes Golf Club - Vista/Dunes,Foley,AL,75
20906,Goose Pond Colony,Goose Pond Colony,Scottsboro,AL,76
11296,Goose Pond Plantation,Goose Pond Plantation,Scottsboro,AL,77
11383,Grand National Golf Course,Grand National Golf Course - Lake Course,Opelika,AL,78
20852,Grand National Golf Course,Grand National Golf Course - Links,Opelika,AL,79
17798,Grand National Golf Course,Grand National Golf Course - Short Course,Opelika,AL,80
11316,Grayson Valley Country Club,Grayson Valley Country Club,Birmingham,AL,81
11289,Greenville Country Club,Greenville Country Club,Greenville,AL,82
11303,Greystone,Greystone - Founders Course,Birmingham,AL,83
11302,Greystone,Greystone - Legacy,Birmingham,AL,84
11343,Gulf Shores Golf Club,Gulf Shores Golf Club - Gulf Shores Country Club,Gulf Shores,AL,85
17873,Gulf State Park,Gulf State Park - Refuge Golf CLub,Gulf Shores,AL,86
11293,Gunter's Landing,Gunter's Landing,Guntersville,AL,87
11260,Hampton Cove,Hampton Cove - Highlands,Owens Cross Roads,AL,88
15032,Hampton Cove,Hampton Cove - River,Owens Cross Roads,AL,89
26492,Heatherwood Hills Country Club,Heatherwood Hills Country Club,Birmingham,AL,90
11300,Heritage Golf Course,Heritage Golf Course,Oneonta,AL,91
14188,Heron Lakes Country Club,Heron Lakes Country Club,Mobile,AL,92
11387,Hidden Meadows Golf Club,Hidden Meadows Golf Club,Northport,AL,93
11290,Highland Oaks,Highland Oaks - Highlands/Magnolia,Dothan,AL,94
11291,Highland Oaks,Highland Oaks - Magnolia/Marshwood,Dothan,AL,95
11292,Highland Oaks,Highland Oaks - Marshwood/Highlands,Dothan,AL,96
11285,Highland Park Golf Course,Highland Park Golf Course,Birmingham,AL,97
11398,Holly Hills Golf Course,Holly Hills Golf Course,Bay Minette,AL,98
14007,Hoover Country Club,Hoover Country Club,Birmingham,AL,99
11253,Horse Creek Golf Club,Horse Creek Golf Club,Doro,AL,100
11337,Huntsville Country Club,Huntsville Country Club,Huntsville,AL,101
14984,Indian Hills Country Club,Indian Hills Country Club,Tuscaloosa,AL,102
11297,Indian Oaks Golf Club,Indian Oaks Golf Club,Anniston,AL,103
11403,Indian Pines Golf Club,Indian Pines Golf Club,Auburn,AL,104
11345,Inverness Country Club,Inverness Country Club,"Birmingham,",AL,105
11410,Isle Dauphine Golf Club,Isle Dauphine Golf Club,Dauphine Island,AL,106
18067,Jackson Golf Association,Jackson Golf Association,Jackson,AL,107
11320,Juniper Creek,Juniper Creek,Brewton,AL,108
11321,Kiva Dunes,Kiva Dunes,Gulf Shores,AL,109
