Club Name,Course Name,City,State,Order,Full Name,Course ID,Google Places ID,Latitude,Longitude
'16 MST,'16 MST,Birmingham,AL,1,"'16 MST, Birmingham, AL",24176,N/A,N/A,N/A
'18 U.S. Women's Open,'18 U.S. Women's Open,Shoal Creek,AL,2,"'18 U.S. Women's Open, Shoal Creek, AL",26738,N/A,N/A,N/A
Alpine Bay Golf Club,Alpine Bay Golf Club,Alpine,AL,3,"Alpine Bay Golf Club, Alpine, AL",11318,ChIJyYCoBAdhiYgRAN0uDCZgWi0,#N/A,#N/A
Andalusia Country Club,Andalusia Country Club,Andalusia,AL,4,"Andalusia Country Club, Andalusia, AL",11385,ChIJje5He1vpkYgRNPNFbM-xH3Q,31.3169886,-86.5119743
Anniston Country Club,Anniston Country Club,Anniston,AL,5,"Anniston Country Club, Anniston, AL",11323,ChIJdzzUNM6zi4gRM2oBgLdjjHY,33.652363,-85.817798
Aroostook Golf Course,Aroostook Golf Course - Kolomi,Montgomery,AL,6,"Aroostook Golf Course - Kolomi, Montgomery, AL",11399,ChIJZwLqr_cujIgRzF6V-NQTd8s,#N/A,#N/A
Aroostook Golf Course,Aroostook Golf Course - River Run,Montgomery,AL,7,"Aroostook Golf Course - River Run, Montgomery, AL",11400,ChIJZwLqr_cujIgRzF6V-NQTd8s,#N/A,#N/A
Arrowhead Country Club,Arrowhead Country Club,Montgomery,AL,8,"Arrowhead Country Club, Montgomery, AL",11328,ChIJ8VMowi0sjIgRrFkdcmux8s4,#N/A,#N/A
Atmore Country Club,Atmore Country Club,Atmore,AL,9,"Atmore Country Club, Atmore, AL",11364,ChIJj7eMJYKCmogR31vN0BdXPn8,31.023154,-87.514348
Auburn University Club,Auburn University Club,Auburn,AL,10,"Auburn University Club, Auburn, AL",11270,ChIJtajIPEzzjIgRPHT1_3h3ljI,32.6330685,-85.5060875
Azalea City Golf Course,Azalea City Golf Course,Mobile,AL,11,"Azalea City Golf Course, Mobile, AL",11268,ChIJj5L0LlWtm4gRvAfI0q97X7I,#N/A,#N/A
Ballantrae Golf Course,Ballantrae Golf Course,Pelham,AL,12,"Ballantrae Golf Course, Pelham, AL",11378,ChIJ7awo-CgliYgRyC4TL51yMjg,33.260975,-86.755964
Becky Peirce Municipal Golf Course,Becky Peirce Municipal Golf Course,Huntsville,AL,13,"Becky Peirce Municipal Golf Course, Huntsville, AL",11254,ChIJITcG59NsYogRhpoxNsc57MY,#N/A,#N/A
Bent Brook Golf Course,Bent Brook Golf Course - Brook/Graveyard,Bessemer,AL,14,"Bent Brook Golf Course - Brook/Graveyard, Bessemer, AL",11279,ChIJrViwDKbeiIgRt3_1Kf_xDxM,33.327929,-86.974168
Bent Brook Golf Course,Bent Brook Golf Course - Brook/Windmill,Bessemer,AL,15,"Bent Brook Golf Course - Brook/Windmill, Bessemer, AL",17721,ChIJrViwDKbeiIgRt3_1Kf_xDxM,33.327929,-86.974168
Bent Brook Golf Course,Bent Brook Golf Course - Graveyard/Windmill,Bessemer,AL,16,"Bent Brook Golf Course - Graveyard/Windmill, Bessemer, AL",11280,ChIJrViwDKbeiIgRt3_1Kf_xDxM,33.327929,-86.974168
Big Spring Lake Country Club,Big Spring Lake Country Club,Albertville,AL,17,"Big Spring Lake Country Club, Albertville, AL",11263,ChIJP1xCrhUDiogRa2h0Hy94nLQ,34.2973694,-86.197805
Blackberry Trail,Blackberry Trail,Florence,AL,18,"Blackberry Trail, Florence, AL",18071,ChIJT4yGXRM2fYgRgcoPM7AJwLM,#N/A,#N/A
Boaz Country Club,Boaz Country Club,Boaz,AL,19,"Boaz Country Club, Boaz, AL",11406,ChIJdwpCdGYZiogR1TdaRwD8Eck,34.22772,-86.173
Briarmeade Golf Club,Briarmeade Golf Club,Glencoe,AL,20,"Briarmeade Golf Club, Glencoe, AL",11393,ChIJqXUjcIw4iogRgudLBbrqYeU,33.961616,-85.946701
Broken Arrow Golf Course,Broken Arrow Golf Course,Scottsboro,AL,21,"Broken Arrow Golf Course, Scottsboro, AL",11295,ChIJ8QCBPufuYYgRXg7MJfnSOnw,34.519014,-86.1850021
Brundidge Country Club,Brundidge Country Club,Brundidge,AL,22,"Brundidge Country Club, Brundidge, AL",13948,ChIJgYDQoQ2OjYgRJDa6WSphr3Q,31.713427,-85.816261
Burningtree Country Club,Burningtree Country Club,Decatur,AL,23,"Burningtree Country Club, Decatur, AL",11322,ChIJ2-18VfqAYogR_FQNV3O7Zos,34.518955,-86.931562
Cahaba Falls,Cahaba Falls,Centerville,AL,24,"Cahaba Falls, Centerville, AL",11266,ChIJTQFZMvczj4gRd-YjLQ1b7as,32.9702031,-87.1366979
Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Canyon/Sherling,Greenville,AL,25,"Cambrian Ridge Golf Course - Canyon/Sherling, Greenville, AL",14989,ChIJq-bGOBo5jogReoML6qtsy1Q,31.892825,-86.689094
Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Loblolly / Canyon,Greenville,AL,26,"Cambrian Ridge Golf Course - Loblolly / Canyon, Greenville, AL",14990,ChIJq-bGOBo5jogReoML6qtsy1Q,31.892825,-86.689094
Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Sherling / Loblolly,Greenville,AL,27,"Cambrian Ridge Golf Course - Sherling / Loblolly, Greenville, AL",14988,ChIJq-bGOBo5jogReoML6qtsy1Q,31.892825,-86.689094
Cane Creek Golf Course,Cane Creek Golf Course,Anniston,AL,28,"Cane Creek Golf Course, Anniston, AL",11335,ChIJOzoeQtGyi4gRX1OA0r5P2Jo,33.7220591,-85.8009669
Canebrake Golf Club,Canebrake Golf Club,Athens,AL,29,"Canebrake Golf Club, Athens, AL",11348,ChIJo1HyjnKKYogRpFAKzG_n0rY,34.763428,-86.915804
Capitol Hill Golf Course,Capitol Hill Golf Course - Judge,Prattville,AL,30,"Capitol Hill Golf Course - Judge, Prattville, AL",11277,ChIJ80qbN3CFjogR3RlHYBv_PNU,32.443134,-86.3949396
Capitol Hill Golf Course,Capitol Hill Golf Course - Legislator,Prattville,AL,31,"Capitol Hill Golf Course - Legislator, Prattville, AL",11276,ChIJ80qbN3CFjogR3RlHYBv_PNU,32.443134,-86.3949396
