Club Name,Course Name,City,State,Course ID,Google Places ID,Latitude,Longitude,Access
Andalusia Country Club,Andalusia Country Club,Andalusia,AL,11385,ChIJje5He1vpkYgRNPNFbM-xH3Q,31.3169886,-86.5119743,Private
Anniston Country Club,Anniston Country Club,Anniston,AL,11323,ChIJdzzUNM6zi4gRM2oBgLdjjHY,33.652363,-85.817798,Private
Atmore Country Club,Atmore Country Club,Atmore,AL,11364,ChIJj7eMJYKCmogR31vN0BdXPn8,31.023154,-87.514348,Private
Auburn University Club,Auburn University Club,Auburn,AL,11270,ChIJtajIPEzzjIgRPHT1_3h3ljI,32.6330685,-85.5060875,Private
Ballantrae Golf Course,Ballantrae Golf Course,Pelham,AL,11378,ChIJ7awo-CgliYgRyC4TL51yMjg,33.260975,-86.755964,Public
Bent Brook Golf Course,Bent Brook Golf Course - Brook/Graveyard,Bessemer,AL,11279,ChIJrViwDKbeiIgRt3_1Kf_xDxM,33.327929,-86.974168,Public
Bent Brook Golf Course,Bent Brook Golf Course - Brook/Windmill,Bessemer,AL,17721,ChIJrViwDKbeiIgRt3_1Kf_xDxM,33.327929,-86.974168,Public
Bent Brook Golf Course,Bent Brook Golf Course - Graveyard/Windmill,Bessemer,AL,11280,ChIJrViwDKbeiIgRt3_1Kf_xDxM,33.327929,-86.974168,Public
Big Spring Lake Country Club,Big Spring Lake Country Club,Albertville,AL,11263,ChIJP1xCrhUDiogRa2h0Hy94nLQ,34.2973694,-86.197805,Public
Boaz Country Club,Boaz Country Club,Boaz,AL,11406,ChIJdwpCdGYZiogR1TdaRwD8Eck,34.22772,-86.173,Public
Briarmeade Golf Club,Briarmeade Golf Club,Glencoe,AL,11393,ChIJqXUjcIw4iogRgudLBbrqYeU,33.961616,-85.946701,Public
Broken Arrow Golf Course,Broken Arrow Golf Course,Scottsboro,AL,11295,ChIJ8QCBPufuYYgRXg7MJfnSOnw,34.519014,-86.1850021,Public
Brundidge Country Club,Brundidge Country Club,Brundidge,AL,13948,ChIJgYDQoQ2OjYgRJDa6WSphr3Q,31.713427,-85.816261,Private
Burningtree Country Club,Burningtree Country Club,Decatur,AL,11322,ChIJ2-18VfqAYogR_FQNV3O7Zos,34.518955,-86.931562,Private
Cahaba Falls,Cahaba Falls,Centerville,AL,11266,ChIJTQFZMvczj4gRd-YjLQ1b7as,32.9702031,-87.1366979,Public
Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Canyon/Sherling,Greenville,AL,14989,ChIJq-bGOBo5jogReoML6qtsy1Q,31.892825,-86.689094,Public
Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Loblolly / Canyon,Greenville,AL,14990,ChIJq-bGOBo5jogReoML6qtsy1Q,31.892825,-86.689094,Public
Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Sherling / Loblolly,Greenville,AL,14988,ChIJq-bGOBo5jogReoML6qtsy1Q,31.892825,-86.689094,Public
Cane Creek Golf Course,Cane Creek Golf Course,Anniston,AL,11335,ChIJOzoeQtGyi4gRX1OA0r5P2Jo,33.7220591,-85.8009669,Public
Canebrake Golf Club,Canebrake Golf Club,Athens,AL,11348,ChIJo1HyjnKKYogRpFAKzG_n0rY,34.763428,-86.915804,Public
Capitol Hill Golf Course,Capitol Hill Golf Course - Judge,Prattville,AL,11277,ChIJ80qbN3CFjogR3RlHYBv_PNU,32.443134,-86.3949396,Public
Capitol Hill Golf Course,Capitol Hill Golf Course - Legislator,Prattville,AL,11276,ChIJ80qbN3CFjogR3RlHYBv_PNU,32.443134,-86.3949396,Public
Capitol Hill Golf Course,Capitol Hill Golf Course - Senator,Prattville,AL,11278,ChIJ80qbN3CFjogR3RlHYBv_PNU,32.443134,-86.3949396,Public
Castle Pines Country Club,Castle Pines Country Club,Gardendale,AL,11374,ChIJzVPpicQFiYgRuLB5F9GOXa8,33.662989,-86.783165,Public
Cherokee Country Club,Cherokee Country Club,Centre,AL,11373,ChIJR-iCQ_hgiogRIFgRozlJPps,34.1120258,-85.6467396,Public
Cherokee Ridge Country Club,Cherokee Ridge Country Club,Union Grove,AL,11301,ChIJnRWep2bgiYgRBaXATPcpNKc,34.4275679,-86.5577312,Public
Chesley Oaks Golf Course,Chesley Oaks Golf Course,Cullman,AL,11334,ChIJIde8B4XEiYgRugB1CVa1fCM,34.249695,-86.671854,Public
Choctaw Country Club,Choctaw Country Club,Butler,AL,11396,ChIJE5kfAT7ihIgRGeiwnf3LPsI,32.095138,-88.189757,Private
Cider Ridge Golf Club,Cider Ridge Golf Club,Oxford,AL,14951,ChIJexd9LEiui4gR0xG4B2PiLZI,33.594614,-85.745537,Public
Clanton Country Club,Clanton Country Club,Clanton,AL,11408,ChIJweq0gbnHjogRBh-0sIXQ2V8,32.8251938,-86.6077573,Public
Colonial Golf Club,Colonial Golf Club,Meridianville,AL,11407,ChIJyekRGo5AYogRIaui2IFXLpc,34.873011,-86.593168,Public
Coosa Pines Country Club,Coosa Pines Country Club,Childersburg,AL,11382,ChIJp7nE5mpciYgR_tz3Racjvns,33.3155181,-86.3594386,Private
Cottonwood Golf Club,Cottonwood Golf Club,Montgomery,AL,11272,ChIJO3UgPYDUjYgR0H7S7lmejEY,32.703005,-85.202028,Public
Country Club of Alabama,Country Club of Alabama,Eufaula,AL,11359,ChIJ5Txs_Y5GjYgRMppOQw5smII,31.822039,-85.1548021,Public
Cross Creek Golf Course,Cross Creek Golf Course,Hanceville,AL,14168,ChIJmWiU3Pm1iYgRLpwzrmC-POA,34.106453,-86.828175,Public
Cumberland Lake Golf Course,Cumberland Lake Golf Course,Pinson,AL,11294,ChIJTXC6AkmniYgR1k5zMJZt8xg,33.770142,-86.670852,Public
Cypress Lakes,Cypress Lakes,Muscle Shoals,AL,11269,ChIJW-WP0sFOfYgRhK9yEW1peFw,34.730192,-87.653919,Public
Cypress Tree Golf Course,Cypress Tree Golf Course - River Course,Maxwell AFB,AL,11306,ChIJ3YARaKCGjogRffcTtfGg8tk,32.388385,-86.349771,Public
Cypress Tree Golf Course,Cypress Tree Golf Course - The University Course,Maxwell AFB,AL,11307,ChIJ3YARaKCGjogRffcTtfGg8tk,32.388385,-86.349771,Public
Decatur Country Club,Decatur Country Club,Decatur,AL,11305,ChIJDx8gJbeGYogRpSNM7F_BK5M,34.567582,-86.969242,Private
Deer Haven Golf Club,Deer Haven Golf Club,Camden,AL,20654,ChIJWWiTfHaWj4gRh_OZZiUm7bU,32.055626,-87.245169,Public
Demopolis Country Club,Demopolis Country Club,Demoplois,AL,11333,ChIJmxHwQaOihYgR6JfxGtZ6ORg,32.5004418,-87.8595996,Private
