Course Name,Address,Access,Year Built,Rating,Number of Reviews,Pct Recommend
Big Spring Lake Golf,"860 Country Club Road , Albertville, Alabama 35950, Marshall County",Semi-Private,1954,4.1,11 out of 11 reviews,100.00%
Smoky Eagle Golf Course,"849 Cochran Ave, Albertville, Alabama 35951, Marshall County",Public,2013,,,0%
Willow Brook Golf Course,"134 Par Dr, Albertville, Alabama 35951, Marshall County",Public,1998,,,0%
Willow Point Country Club,"3054 Willow Point Rd, Alexander City, Alabama 35010, Tallapoosa County",Private,1964,4,1 out of 1 reviews,100.00%
Aliceville Golf Course,"Highway 14 North, Aliceville, Alabama 35442",Private,1965,5,2 out of 2 reviews,100.00%
Alpine Bay Resort,"9855 Renfroe Rd, Alpine, Alabama 35014, Talladega County",Resort,1973,3.7,5 out of 10 reviews,90.70%
Whippoorwill Golf Course,"2920 County Highway 14, Altoona, Alabama 35952, Blount County",Public,1993,,,0%
Andalusia Country Club,"210 Country Club Dr, Andalusia, Alabama 36420, Covington County",Private,1927,,,0%
Evans Barnes Golf Course,"1735 Dannelley Blvd, LBW College, Andalusia, Alabama 36420, Covington County",Public/Municipal,1977,,,0%
Old Pine Golf Course,"24908 Harmony Church Rd, Andalusia, Alabama 36421, Covington County",Public,2004,3,1 out of 2 reviews,50.00%
Anderson Golf Club,"2831 County Rd 156, Anderson, Alabama 35610, Lauderdale County",Public,1992,,,0%
Anniston Country Club,"601 Highland Ave, Anniston, Alabama 36207, Calhoun County",Private,1909,,,0%
Anniston Municipal Golf Course,"1341 Johnston Dr, Anniston, Alabama 36207, Calhoun County",Public,1934,,,0%
Cane Creek Golf Course,"2247 Baltzell Gate Road, Anniston, Alabama 36205, Calhoun County",Public/Municipal,1942,1.5,8 out of 12 reviews,20.80%
Indian Oaks Golf Club,"201 Cherokee Trl, Anniston, Alabama 36206, Calhoun County",Semi-Private,1976,2.3,2 out of 3 reviews,66.70%
Pine Hill Country Club,"175 Pine Hill Dr, Anniston, Alabama 36207, Calhoun County",Semi-Private,1962,4.7,3 out of 3 reviews,100.00%
Brookside Golf Course,"1620 Country Club Cir NW, Arab, Alabama 35016, Marshall County",Public,1962,3.4,4 out of 5 reviews,80.00%
Twin Lakes Golf Club,"211 Golfview Dr NE, Arab, Alabama 35016, Marshall County",Public,1963,4,1 out of 1 reviews,100.00%
Clay County Public Golf Course,"120 Country Club Rd, Ashland, Alabama 36251, Clay County",Semi-Private,1962,1,1 reviews,0%
Canebrake Golf Club,"23015 Founders Circle, Athens, Alabama 35613, Limestone County",Semi-Private,1998,4.4,4 out of 4 reviews,100.00%
