Course Name,Access,Year Built,Rating,Number of Reviews,Pct Recommend,Club ID,Course ID,Full Address,Address,City,State,Zip,Address,City,State,St abbrv,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type
Big Spring Lake Golf,Semi-Private,1954,4.1,11,100.00%,1,1,"860 Country Club Road , Albertville, Alabama 35950, Marshall County",860 Country Club Road,Albertville,Alabama,35950,860 Country Club Road,Albertville,Alabama,AL,35950,34.2973694,-86.197805,0.5,ROOFTOP
Smoky Eagle Golf Course,Public,2013,,,0%,2,2,"849 Cochran Ave, Albertville, Alabama 35951, Marshall County",849 Cochran Ave,Albertville,Alabama,35951,849 Cochran Ave,Albertville,Alabama,AL,35951,34.283569,-86.175839,1,range_interpolation
Willow Brook Golf Course,Public,1998,,,0%,3,3,"134 Par Dr, Albertville, Alabama 35951, Marshall County",134 Par Dr,Albertville,Alabama,35951,134 Par Dr,Albertville,Alabama,AL,35951,34.352553,-86.119741,1,rooftop
Willow Point Country Club,Private,1964,4,1,100.00%,4,4,"3054 Willow Point Rd, Alexander City, Alabama 35010, Tallapoosa County",3054 Willow Point Rd,Alexander City,Alabama,35010,3054 Willow Point Rd,Alexander City,Alabama,AL,35010,32.7948335,-85.9746506,0.6,RANGE_INTERPOLATED
Aliceville Golf Course,Private,1965,5,2,100.00%,5,5,"Highway 14 North, Aliceville, Alabama 35442",Highway 14 North,Aliceville,Alabama,35442,Highway 14 North,Aliceville,Alabama,AL,35442,33.123976,-88.148992,1,street_center
Alpine Bay Resort,Resort,1973,3.7,10,90.70%,6,6,"9855 Renfroe Rd, Alpine, Alabama 35014, Talladega County",9855 Renfroe Rd,Alpine,Alabama,35014,9855 Renfroe Rd,Alpine,Alabama,AL,35014,33.4341343,-86.3011609,0.33,ROOFTOP
Whippoorwill Golf Course,Public,1993,,,0%,7,7,"2920 County Highway 14, Altoona, Alabama 35952, Blount County",2920 County Highway 14,Altoona,Alabama,35952,2920 County Highway 14,Altoona,Alabama,AL,35952,34.112835,-86.433173,1,range_interpolation
Andalusia Country Club,Private,1927,,,0%,8,8,"210 Country Club Dr, Andalusia, Alabama 36420, Covington County",210 Country Club Dr,Andalusia,Alabama,36420,210 Country Club Dr,Andalusia,Alabama,AL,36420,31.3169886,-86.5119743,0.1,ROOFTOP
Evans Barnes Golf Course,Public/Municipal,1977,,,0%,9,9,"1735 Dannelley Blvd, LBW College, Andalusia, Alabama 36420, Covington County",1735 Dannelley Blvd,Andalusia,Alabama,36420,1735 Dannelley Blvd,Andalusia,Alabama,AL,36420,31.325796,-86.4530984,0.1,ROOFTOP
Old Pine Golf Course,Public,2004,3,2,50.00%,10,10,"24908 Harmony Church Rd, Andalusia, Alabama 36421, Covington County",24908 Harmony Church Rd,Andalusia,Alabama,36421,24908 Harmony Church Rd,Andalusia,Alabama,AL,36421,31.3479646,-86.3759065,0.9,ROOFTOP
Anderson Golf Club,Public,1992,,,0%,11,11,"2831 County Rd 156, Anderson, Alabama 35610, Lauderdale County",2831 County Rd 156,Anderson,Alabama,35610,2831 County Rd 156,Anderson,Alabama,AL,35610,34.917972,-87.260743,1,rooftop
Anniston Country Club,Private,1909,,,0%,12,12,"601 Highland Ave, Anniston, Alabama 36207, Calhoun County",601 Highland Ave,Anniston,Alabama,36207,601 Highland Ave,Anniston,Alabama,AL,36207,33.652363,-85.817798,1,rooftop
Anniston Municipal Golf Course,Public,1934,,,0%,13,13,"1341 Johnston Dr, Anniston, Alabama 36207, Calhoun County",1341 Johnston Dr,Anniston,Alabama,36207,1341 Johnston Dr,Anniston,Alabama,AL,36207,33.665498,-85.811468,1,range_interpolation
Cane Creek Golf Course,Public/Municipal,1942,1.5,12,20.80%,14,14,"2247 Baltzell Gate Road, Anniston, Alabama 36205, Calhoun County",2247 Baltzell Gate Road,Anniston,Alabama,36205,2247 Baltzell Gate Road,Anniston,Alabama,AL,36205,33.7220591,-85.8009669,0.6,GEOMETRIC_CENTER
Indian Oaks Golf Club,Semi-Private,1976,2.3,3,66.70%,15,15,"201 Cherokee Trl, Anniston, Alabama 36206, Calhoun County",201 Cherokee Trl,Anniston,Alabama,36206,201 Cherokee Trl,Anniston,Alabama,AL,36206,33.728488,-85.868343,1,rooftop
Pine Hill Country Club,Semi-Private,1962,4.7,3,100.00%,16,16,"175 Pine Hill Dr, Anniston, Alabama 36207, Calhoun County",175 Pine Hill Dr,Anniston,Alabama,36207,175 Pine Hill Dr,Anniston,Alabama,AL,36207,33.664758,-85.700174,1,rooftop
Brookside Golf Course,Public,1962,3.4,5,80.00%,17,17,"1620 Country Club Cir NW, Arab, Alabama 35016, Marshall County",1620 Country Club Cir NW,Arab,Alabama,35016,1620 Country Club Cir NW,Arab,Alabama,AL,35016,34.3290458,-86.5253906,0.8,ROOFTOP
Twin Lakes Golf Club,Public,1963,4,1,100.00%,18,18,"211 Golfview Dr NE, Arab, Alabama 35016, Marshall County",211 Golfview Dr NE,Arab,Alabama,35016,211 Golfview Dr NE,Arab,Alabama,AL,35016,34.343284,-86.497423,1,range_interpolation
Clay County Public Golf Course,Semi-Private,1962,1,1,0%,19,19,"120 Country Club Rd, Ashland, Alabama 36251, Clay County",120 Country Club Rd,Ashland,Alabama,36251,120 Country Club Rd,Ashland,Alabama,AL,36251,33.276584,-85.793662,1,range_interpolation
Canebrake Golf Club,Semi-Private,1998,4.4,4,100.00%,20,20,"23015 Founders Circle, Athens, Alabama 35613, Limestone County",23015 Founders Circle,Athens,Alabama,35613,23015 Founders Circle,Athens,Alabama,AL,35613,34.763428,-86.915804,1,rooftop
Southern Gayles Golf Course,Public,1995,3.4,11,83.30%,21,21,"22230 Mooresville Rd, Athens, Alabama 35613, Limestone County",22230 Mooresville Rd,Athens,Alabama,35613,22230 Mooresville Rd,Athens,Alabama,AL,35613,34.879143,-86.873818,1,rooftop
Atmore Country Club,Private,1923,4,1,100.00%,22,22,"4474 Hwy 31 S, Atmore, Alabama 36502, Escambia County",4474 Hwy 31 S,Atmore,Alabama,36502,4474 Hwy 31 S,Atmore,Alabama,AL,36502,31.023154,-87.514348,1,range_interpolation
Wills Creek Country Club,Semi-Private,1965,,,0%,23,23,"216 Country Club Rd, Attalla, Alabama 35954, Etowah County",216 Country Club Rd,Attalla,Alabama,35954,216 Country Club Rd,Attalla,Alabama,AL,35954,34.010703,-86.09458,1,rooftop
Auburn Links at Mill Creek,Public,1992,1.3,14,12.80%,24,24,"826 Shell Toomer Pkwy, Auburn, Alabama 36831",826 Shell Toomer Pkwy,Auburn,Alabama,36831,826 Shell Toomer Pkwy,Auburn,Alabama,AL,36831,32.5522726,-85.4730973,0.9,ROOFTOP
Auburn University Golf Club,Private,1999,4,1,100.00%,25,25,"1650 Yarbrough Farms Blvd., Auburn, Alabama 36830, Lee County",1650 Yarbrough Farms Blvd.,Auburn,Alabama,36830,1650 Yarbrough Farms Blvd.,Auburn,Alabama,AL,36830,32.6330685,-85.5060875,0.9,ROOFTOP
Indian Pines Golf Course,Municipal,1946,3.9,22,95.50%,26,26,"900 Country Club Ln, Auburn, Alabama 36830, Lee County",900 Country Club Ln,Auburn,Alabama,36830,900 Country Club Ln,Auburn,Alabama,AL,36830,32.623545,-85.442084,1,range_interpolation
Moore's Mill Golf Club,Private,2000,,,0%,27,27,"1957 Fairway Drive, Auburn, AL 36830",1957 Fairway Drive,Auburn,Alabama,36830,1957 Fairway Drive,Auburn,Alabama,AL,36830,32.580548,-85.445633,1,rooftop
The Greens At Auburn,Public,2010,4,7,100.00%,28,28,"4315 Golf Club Drive, Auburn, AL 36830",4315 Golf Club Drive,Auburn,Alabama,36830,4315 Golf Club Drive,Auburn,Alabama,AL,36830,32.535339,-85.512543,0.9,ROOFTOP
Holly Hills Country Club,Private,1968,4.1,9,100.00%,29,29,"38600 Country Club Dr., Bay Minette, Alabama 36507, Baldwin County",38600 Country Club Dr.,Bay Minette,Alabama,36507,38600 Country Club Dr.,Bay Minette,Alabama,AL,36507,30.786499,-87.776391,1,rooftop
Brook/Graveyard at Bent Brook Golf Course,Public,1988,3.1,4,100.00%,30,30,"7900 Dickey Springs Rd, Bessemer, Alabama 35022, Jefferson County",7900 Dickey Springs Rd,Bessemer,Alabama,35022,7900 Dickey Springs Rd,Bessemer,Alabama,AL,35022,33.327929,-86.974168,1,rooftop
Frank House Municipal Golf Course,Public/Municipal,1972,4.2,2,100.00%,31,31,"801 Golf Course Rd, Bessemer, Alabama 35022, Jefferson County",801 Golf Course Rd,Bessemer,Alabama,35022,801 Golf Course Rd,Bessemer,Alabama,AL,35022,33.36604,-86.991278,1,rooftop
Graveyard/Windmill at Bent Brook Golf Course,Public,1988,3.1,4,100.00%,32,32,"7900 Dickey Springs Rd, Bessemer, Alabama 35022, Jefferson County",7900 Dickey Springs Rd,Bessemer,Alabama,35022,7900 Dickey Springs Rd,Bessemer,Alabama,AL,35022,33.327929,-86.974168,1,rooftop
Windmill/Brook at Bent Brook Golf Course,Public,1988,3.1,4,100.00%,32,33,"7900 Dickey Springs Rd, Bessemer, Alabama 35022, Jefferson County",7900 Dickey Springs Rd,Bessemer,Alabama,35022,7900 Dickey Springs Rd,Bessemer,Alabama,AL,35022,33.327929,-86.974168,1,rooftop
Woodward Golf Club,Private,1916,3.7,3,100.00%,33,34,"2141 Wheel Dr, Bessemer, Alabama 35020, Jefferson County",2141 Wheel Dr,Bessemer,Alabama,35020,2141 Wheel Dr,Bessemer,Alabama,AL,35020,33.430314,-86.95816,1,rooftop
Clear Creek Golf Club,Public,1948,3.4,26,77.50%,34,35,"1715 Alabama Hwy 205 S, Boaz, Alabama 35957, Marshall County",1715 Alabama Hwy 205 S,Boaz,Alabama,35957,1715 Alabama Hwy 205 S,Boaz,Alabama,AL,35957,34.22772,-86.173,1,range_interpolation
Country Club of Brewton,Semi-Private,1997,4.7,34,94.10%,35,36,"700 Club House Dr, Brewton, Alabama 36426, Escambia County",700 Club House Dr,Brewton,Alabama,36426,700 Club House Dr,Brewton,Alabama,AL,36426,31.203036,-87.0639209,0.6,ROOFTOP
Dogwood Hills Golf Course,Municipal,1937,4,1,100.00%,36,37,"2835 Douglas Ave, Brewton, AL 36426",2835 Douglas Ave,Brewton,Alabama,36426,2835 Douglas Ave,Brewton,Alabama,AL,36426,31.151808,-87.065813,1,range_interpolation
Brundidge Country Club,Private,1965,,,0%,37,38,"Springhill Hwy, Brundidge, Alabama 36010, Pike County",Springhill Hwy,Brundidge,Alabama,36010,Springhill Hwy,Brundidge,Alabama,AL,36010,31.713427,-85.816261,1,place
Hidden Valley Golf Course,Public,1985,,,0%,38,39,"607 County Rd 393, Bryant, Alabama 35958, Jackson County",607 County Rd 393,Bryant,Alabama,35958,607 County Rd 393,Bryant,Alabama,AL,35958,34.97875,-85.660583,1,range_interpolation
Choctaw Country Club,Private,1963,,,0%,39,40,"Country Club Dr, Butler, Alabama 36904, Choctaw County",Country Club Dr,Butler,Alabama,36904,Country Club Dr,Butler,Alabama,AL,36904,32.095138,-88.189757,1,street_center
Timberline Golf Club,Semi-Private,2002,4.1,8,85.30%,40,41,"300 Timberline Trail, Calera, Alabama 35040",300 Timberline Trail,Calera,Alabama,35040,300 Timberline Trail,Calera,Alabama,AL,35040,33.099649,-86.735619,1,rooftop
Deer Haven Golf Club at Roland Cooper State Park,Public,1972,,,0%,41,42,"285 Deer Run Rd, Camden, Alabama 36726, Wilcox County",285 Deer Run Rd,Camden,Alabama,36726,285 Deer Run Rd,Camden,Alabama,AL,36726,32.055626,-87.245169,1,range_interpolation
Cherokee Country Club,Semi-Private,1969,,,0%,42,43,"270 County Rd 382, Centre, Alabama 35960, Cherokee County",270 County Rd 382,Centre,Alabama,35960,270 County Rd 382,Centre,Alabama,AL,35960,34.1120258,-85.6467396,0.9,ROOFTOP
Cahaba Falls Country Club,Semi-Private,1966,,,0%,43,44,"530 2nd St N, Centreville, Alabama 35042, Bibb County",530 2nd St N,Centreville,Alabama,35042,530 2nd St N,Centreville,Alabama,AL,35042,32.9702031,-87.1366979,0.33,ROOFTOP
Deerfield Golf Club,Semi-Private,1993,2.5,2,100.00%,44,45,"16461 Saint Stephens Ave, Chatom, Alabama 36518, Washington County",16461 Saint Stephens Ave,Chatom,Alabama,36518,16461 Saint Stephens Ave,Chatom,Alabama,AL,36518,31.455703,-88.206333,1,rooftop
Deer Valley Links Golf Course,Public,2006,,,0%,45,46,"246 Cain Rd, Chelsea, Alabama 35043, Shelby County",246 Cain Rd,Chelsea,Alabama,35043,246 Cain Rd,Chelsea,Alabama,AL,35043,33.32281,-86.71464,1,rooftop
Mill Creek Golf Course,Public/Municipal,1975,4,1,100.00%,46,47,"18350 Lakeview Dr, Citronelle, Alabama 36522, Mobile County",18350 Lakeview Dr,Citronelle,Alabama,36522,18350 Lakeview Dr,Citronelle,Alabama,AL,36522,31.073529,-88.310052,1,range_interpolation
Clanton Country Club,Semi-Private,1935,,,0%,47,48,"1 Country Club Rd, Clanton, Alabama 35046, Chilton County",1 Country Club Rd,Clanton,Alabama,35046,1 Country Club Rd,Clanton,Alabama,AL,35046,32.8251938,-86.6077573,0.9,ROOFTOP
Magnolia Meadows Golf Course,Public,2001,5,1,100.00%,48,49,"315 Highway 47 S, Columbiana AL 35051",315 Highway 47 S,Columbiana,Alabama,35051,315 Highway 47 S,Columbiana,Alabama,AL,35051,33.1691095,-86.6051899,0.8,ROOFTOP
Coosa Pines Golf Club,Private,1952,1.9,3,28.60%,49,50,"16615 Plant Rd, Coosa Pines, Alabama 35044, Talladega County",16615 Plant Rd,Coosa Pines,Alabama,35044,16615 Plant Rd,Coosa Pines,Alabama,AL,35044,33.3155181,-86.3594386,0.7,RANGE_INTERPOLATED
Horse Creek Golf Course,Municipal,2000,4.6,5,100.00%,50,51,"1745 Highway 78 , Dora, AL 35062",1745 Highway 78,Dora,Alabama,35062,1745 Highway 78,Dora,Alabama,AL,35062,33.7406806,-87.0611772,0.6,GEOMETRIC_CENTER
Chesley Oaks Golf Club,Public,1996,,,0%,51,52,"1035 County Rd 1583, Cullman, Alabama 35058, Cullman County",1035 County Rd 1583,Cullman,Alabama,35058,1035 County Rd 1583,Cullman,Alabama,AL,35058,34.249695,-86.671854,1,rooftop
Terri Pines Country Club,Private,1980,4.2,50,93.50%,52,53,"700 Pine Hill Dr, Cullman, Alabama 35057, Cullman County",700 Pine Hill Dr,Cullman,Alabama,35057,700 Pine Hill Dr,Cullman,Alabama,AL,35057,34.226513,-86.89134,1,rooftop
StillWaters Golf Club - The Highlands Course,Resort,1997,3.9,13,93.10%,53,54,"797 Moonbrook Dr, Dadeville, Alabama 36853, Tallapoosa County",797 Moonbrook Dr,Dadeville,Alabama,36853,797 Moonbrook Dr,Dadeville,Alabama,AL,36853,32.75358,-85.794899,1,range_interpolation
Dogwood/Pines at TimberCreek Golf Club,Semi-Private,1993,3.9,121,87.30%,54,55,"9650 Timbercreek Blvd, Daphne, Alabama 36527, Baldwin County",9650 Timbercreek Blvd,Daphne,Alabama,36527,9650 Timbercreek Blvd,Daphne,Alabama,AL,36527,30.672656,-87.870442,1,rooftop
