Club Name,Course Name,City,State,Order,Full Name,Course ID
'16 MST,'16 MST,Birmingham,AL,1,"'16 MST, Birmingham, AL",24176
'18 U.S. Women's Open,'18 U.S. Women's Open,Shoal Creek,AL,2,"'18 U.S. Women's Open, Shoal Creek, AL",26738
Alpine Bay Golf Club,Alpine Bay Golf Club,Alpine,AL,3,"Alpine Bay Golf Club, Alpine, AL",11318
Andalusia Country Club,Andalusia Country Club,Andalusia,AL,4,"Andalusia Country Club, Andalusia, AL",11385
Anniston Country Club,Anniston Country Club,Anniston,AL,5,"Anniston Country Club, Anniston, AL",11323
Aroostook Golf Course,Aroostook Golf Course - Kolomi,Montgomery,AL,6,"Aroostook Golf Course - Kolomi, Montgomery, AL",11399
Aroostook Golf Course,Aroostook Golf Course - River Run,Montgomery,AL,7,"Aroostook Golf Course - River Run, Montgomery, AL",11400
Arrowhead Country Club,Arrowhead Country Club,Montgomery,AL,8,"Arrowhead Country Club, Montgomery, AL",11328
Atmore Country Club,Atmore Country Club,Atmore,AL,9,"Atmore Country Club, Atmore, AL",11364
Auburn University Club,Auburn University Club,Auburn,AL,10,"Auburn University Club, Auburn, AL",11270
Azalea City Golf Course,Azalea City Golf Course,Mobile,AL,11,"Azalea City Golf Course, Mobile, AL",11268
Ballantrae Golf Course,Ballantrae Golf Course,Pelham,AL,12,"Ballantrae Golf Course, Pelham, AL",11378
Becky Peirce Municipal Golf Course,Becky Peirce Municipal Golf Course,Huntsville,AL,13,"Becky Peirce Municipal Golf Course, Huntsville, AL",11254
Bent Brook Golf Course,Bent Brook Golf Course - Brook/Graveyard,Bessemer,AL,14,"Bent Brook Golf Course - Brook/Graveyard, Bessemer, AL",11279
Bent Brook Golf Course,Bent Brook Golf Course - Brook/Windmill,Bessemer,AL,15,"Bent Brook Golf Course - Brook/Windmill, Bessemer, AL",17721
Bent Brook Golf Course,Bent Brook Golf Course - Graveyard/Windmill,Bessemer,AL,16,"Bent Brook Golf Course - Graveyard/Windmill, Bessemer, AL",11280
Big Spring Lake Country Club,Big Spring Lake Country Club,Albertville,AL,17,"Big Spring Lake Country Club, Albertville, AL",11263
Blackberry Trail,Blackberry Trail,Florence,AL,18,"Blackberry Trail, Florence, AL",18071
Boaz Country Club,Boaz Country Club,Boaz,AL,19,"Boaz Country Club, Boaz, AL",11406
Briarmeade Golf Club,Briarmeade Golf Club,Glencoe,AL,20,"Briarmeade Golf Club, Glencoe, AL",11393
Broken Arrow Golf Course,Broken Arrow Golf Course,Scottsboro,AL,21,"Broken Arrow Golf Course, Scottsboro, AL",11295
Brundidge Country Club,Brundidge Country Club,Brundidge,AL,22,"Brundidge Country Club, Brundidge, AL",13948
Burningtree Country Club,Burningtree Country Club,Decatur,AL,23,"Burningtree Country Club, Decatur, AL",11322
Cahaba Falls,Cahaba Falls,Centerville,AL,24,"Cahaba Falls, Centerville, AL",11266
Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Canyon/Sherling,Greenville,AL,25,"Cambrian Ridge Golf Course - Canyon/Sherling, Greenville, AL",14989
Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Loblolly / Canyon,Greenville,AL,26,"Cambrian Ridge Golf Course - Loblolly / Canyon, Greenville, AL",14990
Cambrian Ridge Golf Course,Cambrian Ridge Golf Course - Sherling / Loblolly,Greenville,AL,27,"Cambrian Ridge Golf Course - Sherling / Loblolly, Greenville, AL",14988
Cane Creek Golf Course,Cane Creek Golf Course,Anniston,AL,28,"Cane Creek Golf Course, Anniston, AL",11335
Canebrake Golf Club,Canebrake Golf Club,Athens,AL,29,"Canebrake Golf Club, Athens, AL",11348
Capitol Hill Golf Course,Capitol Hill Golf Course - Judge,Prattville,AL,30,"Capitol Hill Golf Course - Judge, Prattville, AL",11277
Capitol Hill Golf Course,Capitol Hill Golf Course - Legislator,Prattville,AL,31,"Capitol Hill Golf Course - Legislator, Prattville, AL",11276
Capitol Hill Golf Course,Capitol Hill Golf Course - Senator,Prattville,AL,32,"Capitol Hill Golf Course - Senator, Prattville, AL",11278
Castle Pines Country Club,Castle Pines Country Club,Gardendale,AL,33,"Castle Pines Country Club, Gardendale, AL",11374
Cedar Ridge Golf Course,Cedar Ridge Golf Course,Decatur,AL,34,"Cedar Ridge Golf Course, Decatur, AL",11376
Cherokee Country Club,Cherokee Country Club,Centre,AL,35,"Cherokee Country Club, Centre, AL",11373
Cherokee Ridge Country Club,Cherokee Ridge Country Club,Union Grove,AL,36,"Cherokee Ridge Country Club, Union Grove, AL",11301
