Club ID,Formatted Address,Address,Lat,Lng,Precisions
1,"860 Country Club Road, Albertville, Alabama, 35950","860 Country Club Rd, Albertville, AL 35951, USA",34.2973694,-86.197805,ROOFTOP
4,"3054 Willow Point Rd, Alexander City, Alabama, 35010","3054 Willow Point Rd, Alexander City, AL 35010, USA",32.7948335,-85.9746506,RANGE_INTERPOLATED
6,"9855 Renfroe Rd, Alpine, Alabama, 35014","9855 Renfroe Rd, Alpine, AL 35014, USA",33.4341343,-86.3011609,ROOFTOP
8,"210 Country Club Dr, Andalusia, Alabama, 36420","210 Country Club Dr, Andalusia, AL 36421, USA",31.3169886,-86.5119743,ROOFTOP
9,"1735 Dannelley Blvd, Andalusia, Alabama, 36420","1735 Dannelley Blvd, Andalusia, AL 36420, USA",31.325796,-86.4530984,ROOFTOP
10,"24908 Harmony Church Rd, Andalusia, Alabama, 36421","24908 Harmony Church Rd, Andalusia, AL 36421, USA",31.3479646,-86.3759065,ROOFTOP
14,"2247 Baltzell Gate Road, Anniston, Alabama, 36205","Baltzell Gate Rd, Anniston, AL 36205, USA",33.7220591,-85.8009669,GEOMETRIC_CENTER
17,"1620 Country Club Cir NW, Arab, Alabama, 35016","1620 Country Club Cir NW, Arab, AL 35016, USA",34.3290458,-86.5253906,ROOFTOP
24,"826 Shell Toomer Pkwy, Auburn, Alabama, 36831","Chewacla State Park, 124 Shell Toomer Pkwy, Auburn, AL 36830, USA",32.5522726,-85.4730973,ROOFTOP
25,"1650 Yarbrough Farms Blvd., Auburn, Alabama, 36830","1650 Yarbrough Farms Blvd, Auburn, AL 36830, USA",32.6330685,-85.5060875,ROOFTOP
28,"4315 Golf Club Drive, Auburn, Alabama, 36830","4315 Golf Club Dr, Auburn, AL 36830, USA",32.535339,-85.512543,ROOFTOP
35,"700 Club House Dr, Brewton, Alabama, 36426","700 Clubhouse Rd, Brewton, AL 36426, USA",31.203036,-87.0639209,ROOFTOP
42,"270 County Rd 382, Centre, Alabama, 35960","270 County Rd 382, Centre, AL 35960, USA",34.1120258,-85.6467396,ROOFTOP
43,"530 2nd St N, Centreville, Alabama, 35042","530 2nd St N, Centreville, AL 35042, USA",32.9702031,-87.1366979,ROOFTOP
47,"1 Country Club Rd, Clanton, Alabama, 35046","1 Country Club Rd, Clanton, AL 35045, USA",32.8251938,-86.6077573,ROOFTOP
48,"315 Highway 47 S, Columbiana, Alabama, 35051","315 Hwy 47, Columbiana, AL 35051, USA",33.1691095,-86.6051899,ROOFTOP
49,"16615 Plant Rd, Coosa Pines, Alabama, 35044","16615 Plant Rd, Childersburg, AL 35044, USA",33.3155181,-86.3594386,RANGE_INTERPOLATED
50,"1745 Highway 78, Dora, Alabama, 35062","1745 Hwy 78, Dora, AL 35062, USA",33.7406806,-87.0611772,GEOMETRIC_CENTER
61,"2600A Point Mallard Pkwy SE, Decatur, Alabama, 35601","2600a Point Mallard Pkwy SE, Decatur, AL 35603, USA",34.5451052,-86.9289433,ROOFTOP
62,"1620 Country Club Dr, Demopolis, Alabama, 36732","1620 Country Club Dr, Demopolis, AL 36732, USA",32.5004418,-87.8595996,RANGE_INTERPOLATED
63,"748 Sports-Plex Rd, Demopolis, Alabama, 36742","748 Sports-Plex Rd, Demopolis, AL 36732, USA",32.4880018,-87.795813,ROOFTOP
67,"904 Royal Pkwy, Dothan, Alabama, 36305","904 Royal Pkwy, Dothan, AL 36305, USA",31.2302714,-85.4979637,ROOFTOP
69,"904 Royal Pkwy, Dothan, Alabama, 36305","904 Royal Pkwy, Dothan, AL 36305, USA",31.2302714,-85.4979637,ROOFTOP
70,"904 Royal Pkwy, Dothan, Alabama, 36305","904 Royal Pkwy, Dothan, AL 36305, USA",31.2302714,-85.4979637,ROOFTOP
73,"12096 County Road 95, Elberta, Alabama, 36530","Co Rd 95, Alabama 36530, USA",30.3932088,-87.5476487,GEOMETRIC_CENTER
76,"101 Merion Dr, Eufaula, Alabama, 36027","101 Merion Dr, Eufaula, AL 36027, USA",31.822039,-85.1548021,RANGE_INTERPOLATED
81,"303 County Road 16, Fayette, Alabama, 35555","303 Co Rd 16, Fayette, AL 35555, USA",33.6827545,-87.8740093,ROOFTOP
83,"112 Clubhouse Dr, Florence, Alabama, 35630","Clubhouse Dr, Florence, AL 35630, USA",34.8618704,-87.6304468,GEOMETRIC_CENTER
87,"502 Crystal Lake Rd, Fort Payne, Alabama, 35967","502 Crystal Lake Dr, Fort Payne, AL 35967, USA",34.4625204,-85.6923914,ROOFTOP
93,"203 River Oaks Rd, Geneva, Alabama, 36340","River St, Geneva, AL 36340, USA",31.0260079,-85.8576752,GEOMETRIC_CENTER
99,"3200 Mountain View Dr, Graysville, Alabama, 35073","3200 Mountainview Drive, Graysville, AL 35073, USA",33.6339057,-86.9409715,ROOFTOP
102,"902 Fort Dale Rd, Greenville, Alabama, 36037","902 Fort Dale Rd, Greenville, AL 36037, USA",31.8448333,-86.6372092,ROOFTOP
104,"1310 Country Club Rd, Guin, Alabama, 35563","1310 Country Club Rd, Guin, AL 35563, USA",34.0403901,-87.970179,ROOFTOP
108,"1331 Airport Rd, Haleyville, Alabama, 35565","1331 Airport Rd, Haleyville, AL 35565, USA",34.2774515,-87.6054955,ROOFTOP
110,"233 Quail Creek Dr, Hartselle, Alabama, 35640","233 Quail Creek Dr, Falkville, AL 35622, USA",34.3867761,-86.8659449,GEOMETRIC_CENTER
112,"4175 State Hwy 134 E, Headland, Alabama, 36345","4175 AL-134, Headland, AL 36345, USA",31.3499377,-85.2590931,ROOFTOP
116,"95 County Rd 40, Jacksons Gap, Alabama, 36861","95 Co Rd 40, Jacksons' Gap, AL 36861, USA",32.8849306,-85.8732857,ROOFTOP
117,"916 Country Club Rd, Jasper, Alabama, 35503","916 Country Club Rd, Jasper, AL 35503, USA",33.9144446,-87.2907002,ROOFTOP
120,"2001 Country Club Rd, Lanett, Alabama, 36863","2001 Country Club Rd, Lanett, AL 36863, USA",32.8726396,-85.2147138,RANGE_INTERPOLATED
123,"31925 Steelwood Ridge Rd, Loxley, Alabama, 36551","31925 Steelwood Ridge Rd, Loxley, AL 36551, USA",30.7032393,-87.7252462,ROOFTOP
126,"1461 March Rd Bldg1461, Maxwell AFB, Alabama, 36112","1461 March Rd Bldg 1461, Montgomery, AL 36112, USA",32.388385,-86.349771,ROOFTOP
127,"741 County Road 647, Mentone, Alabama, 35984","741 Co Rd 647, Mentone, AL 35984, USA",34.5920813,-85.5728135,RANGE_INTERPOLATED
128,"721 County Road 614, Mentone, Alabama, 35984","721 Co Rd 614, Mentone, AL 35984, USA",34.535179,-85.6031057,ROOFTOP
137,"990 Sunbelt Pkwy, Muscle Shoals, Alabama, 35661","990 Sunbelt Pkwy, Muscle Shoals, AL 35661, USA",34.8190452,-87.5351732,ROOFTOP
138,"13000 Old Cove Rd, Northport, Alabama, 35473","13000 Old Cove Rd, Northport, AL 35473, USA",33.2938617,-87.6378786,ROOFTOP
142,"3800 Bent Creek Rd, Opelika, Alabama, 36804","3800 Bent Creek Rd, Opelika, AL 36804, USA",32.6016907,-85.4166792,ROOFTOP
143,"3000 Robert Trent Jones Trl, Opelika, Alabama, 36801","3000 Robert Trent Jones Trail, Opelika, AL 36801, USA",32.6767264,-85.431962,ROOFTOP
144,"Andalusia Hwy, Opp, Alabama, 36467","Opp-Andalusia Hwy, Opp, AL 36467, USA",31.2693156,-86.2925528,GEOMETRIC_CENTER
150,"815 Country Club Dr, Ozark, Alabama, 36360","815 Country Club Dr, Ozark, AL 36360, USA",31.473449,-85.617414,ROOFTOP
154,"2800 Lakewood Dr, Phenix City, Alabama, 36867","2800 Lakewood Dr, Phenix City, AL 36867, USA",32.5036453,-85.0325704,ROOFTOP
156,"1 Grand Blvd, Point Clear, Alabama, 36564","1 Grand Blvd, Fairhope, AL 36532, USA",30.4840182,-87.9344192,ROOFTOP
157,"2600 Constitution Ave, Prattville, Alabama, 36066","2600 Constitution Ave, Prattville, AL 36066, USA",32.443134,-86.3949396,ROOFTOP
160,"1400 Redmont Dr NW, Red Bay, Alabama, 35582","1400 Redmont Dr, Red Bay, AL 35582, USA",34.4625043,-88.1439171,ROOFTOP
161,"4140 Goss Road, Huntsville, Alabama, 35898","4140 Goss Rd SW, Huntsville, AL 35808, USA",34.6976291,-86.6652612,ROOFTOP
164,"4401 McLean Drive, Rogersville, Alabama, 35652","4401 McLean Dr, Rogersville, AL 35652, USA",34.8116077,-87.3324741,ROOFTOP
166,"399 Broken Arrow DR., Scottsboro, Alabama, 35769","399 Broken Arrow Dr, Scottsboro, AL 35769, USA",34.519014,-86.1850021,ROOFTOP
168,"67 Plantation Pointe Road, Scottsboro, Alabama, 35768","67 Plantation Pointe Rd, Scottsboro, AL 35768, USA",34.6375298,-86.1304635,RANGE_INTERPOLATED
169,"Guntersville Hwy, Scottsboro, Alabama, 35768","25775 John T Reid Pkwy, Scottsboro, AL 35768, USA",34.679907,-85.998871,ROOFTOP
170,"262 Craig Industrial Park, Selma, Alabama, 36702","48 Craig Industrial Park, Selma, AL 36701, USA",32.3617523,-86.9880672,ROOFTOP
171,"103 W Dallas Ave, Selma, Alabama, 36701","103 W Dallas Ave, Selma, AL 36701, USA",32.411,-87.0376,ROOFTOP
173,"386 Talladega Springs Rd., Sylacauga, Alabama, 35151","386 Talladega Springs Rd, Sylacauga, AL 35151, USA",33.1421013,-86.4133514,ROOFTOP
174,"1 Fairway Dr, Sylacauga, Alabama, 35150","1 Fairway Dr, Sylacauga, AL 35150, USA",33.2183864,-86.2428885,ROOFTOP
175,"65230 AL Highway 77, Talladega, Alabama, 35160","65230 AL-77, Talladega, AL 35160, USA",33.4481591,-86.11059,RANGE_INTERPOLATED
176,"101 Ironaton Rd, Talladega, Alabama, 35160","101 Ironaton Rd, Talladega, AL 35160, USA",33.4361979,-86.0716327,ROOFTOP
177,"8350 Theodore Dawes Rd W, Theodore, Alabama, 36582","8350 Theodore Dawes Rd W, Theodore, AL 36582, USA",30.5784637,-88.2359178,RANGE_INTERPOLATED
179,"Troy State University, Troy, Alabama, 36082","600 University Ave, Troy, AL 36082, USA",31.8010955,-85.9572999,ROOFTOP
180,"1 Club Rd, Troy, Alabama, 36081","1 Club Rd, Troy, AL 36079, USA",31.7771747,-85.9664782,ROOFTOP
182,"1650 Hwy 82, Tuscaloosa, Alabama, 35406","Hwy 82 E, Tuscaloosa, AL, USA",33.1336539,-87.4967511,GEOMETRIC_CENTER
183,"3100 Yacht Club Way NE, Tuscaloosa, Alabama, 35404","3100 Yacht Club Way NE, Tuscaloosa, AL 35406, USA",33.2920342,-87.5056531,ROOFTOP
188,"101 W Maple St, Tuscumbia, Alabama, 35674","101 W Maple St, Tuscumbia, AL 35674, USA",34.7190145,-87.7017367,ROOFTOP
189,"4000 Cherokee Ridge Dr, Union Grove, Alabama, 35175","4000 Cherokee Ridge Dr, Union Grove, AL 35175, USA",34.4275679,-86.5577312,ROOFTOP
190,"Hill & Dale Dr, Union Springs, Alabama, 36089","Union Springs, AL 36089, USA",32.144316,-85.7149495,APPROXIMATE
192,"1009 Warrior Drive, Valley Grande, Alabama, 36701","1009 Warrior Dr, Valley Grande, AL 36701, USA",32.4863208,-87.1155593,ROOFTOP
196,"51880 Country Club Rd, York, Alabama, 36925","Country Club Rd, York, AL 36925, USA",32.4951548,-88.3053207,GEOMETRIC_CENTER
198,"27000 Arctic Valley Road, Fort Richardson, Alaska, 99505","27000 Arctic Valley Rd, Anchorage, AK 99505, USA",61.2337327,-149.6675208,ROOFTOP
199,"2092 Kinney Rd, Fort Wainwright, Alaska, 99703","Kinney Rd, Fairbanks, AK 99703, USA",64.8329555,-147.5814992,GEOMETRIC_CENTER
200,"1 State Dock Rd, Gustavus, Alaska, 99826","1 State Dock Rd, Gustavus, AK 99826, USA",58.412419,-135.7270074,ROOFTOP
201,"1.5 Mile Haines Hwy, Haines, Alaska, 99827","1.5 Mile Haines Hwy, Haines, AK 99827, USA",59.2390571,-135.4812034,ROOFTOP
202,"129 Chilkat Lake, Haines, Alaska, 99827","Chilkat Lake, Alaska 99827, USA",59.3330623,-135.8939706,APPROXIMATE
206,"2 8 Mile Anton Larson Bay Rd, Kodiak, Alaska, 99615","Anton Larsen Bay Rd, Kodiak, AK 99615, USA",57.7836385,-152.5627865,GEOMETRIC_CENTER
208,"2600 Palmer-Fishhook Rd, Palmer, Alaska, 99645","2600 N Palmer-Fishhook Rd, Palmer, AK 99645, USA",61.6272291,-149.1253847,ROOFTOP
209,"1000 Lepak Ave, Palmer, Alaska, 99645","1000 Lepak Ave, Palmer, AK 99645, USA",61.5848851,-149.0985738,ROOFTOP
215,"1/2 Mile Wrangell E Rd, Wrangell, Alaska, 99929","Wrangell Ave, Wrangell, AK 99929, USA",56.470147,-132.3763944,GEOMETRIC_CENTER
217,"58 County Rd 2122, Alpine, Arizona, 85920","58 County Rd 2122, Alpine, AZ 85920, USA",33.8133361,-109.1095897,RANGE_INTERPOLATED
219,"3401 S Ironwood Dr, Apache Junction, Arizona, 85220","3401 S Ironwood Dr, Apache Junction, AZ 85120, USA",33.3854663,-111.5625224,ROOFTOP
220,"1000 S Idaho Rd, Apache Junction, Arizona, 85219","1000 S Idaho Rd, Apache Junction, AZ 85119, USA",33.406199,-111.5484053,ROOFTOP
221,"8000 E Club Village Dr, Apache Junction, Arizona, 85218","8000 E Club Village Dr, Gold Canyon, AZ 85118, USA",33.390469,-111.463406,ROOFTOP
222,"13939 E Cleator Rd, Arizona City, Arizona, 85223","13939 Cleator Rd, Arizona City, AZ 85123, USA",32.7534772,-111.6684771,ROOFTOP
228,"W Desert Vista Blvd, Buckeye, Arizona, 85361","W Desert Vista Blvd, Buckeye, AZ 85396, USA",33.6661576,-112.6187135,GEOMETRIC_CENTER
234,"2020 E Ramar Rd, Bullhead City, Arizona, 86442","2020 Ramar Rd, Bullhead City, AZ 86442, USA",35.1082578,-114.5734039,ROOFTOP
236,"34636 N Tom Darlington, Carefree, Arizona, 85377","34636 N Tom Darlington Dr, Cave Creek, AZ 85331, USA",33.822814,-111.9246989,RANGE_INTERPOLATED
237,"2121 N Thornton Rd, Casa Grande, Arizona, 85222","2121 N Thornton Rd, Casa Grande, AZ 85122, USA",32.9127794,-111.7749046,ROOFTOP
238,"12684 West Gila Bend Highway, Casa Grande, Arizona, 85222","12684 W Gila Bend Hwy, Casa Grande, AZ 85193, USA",32.8805082,-111.8473656,ROOFTOP
239,"11 Mission Royale South #1, Casa Grande, Arizona, 85222","11 Mission Pkwy, Casa Grande, AZ 85194, USA",32.8716547,-111.6776855,ROOFTOP
240,"1110 North Henness Rd, Casa Grande, Arizona, 85122","Palm Creek Golf & RV Resort, 1110 N Henness Rd, Casa Grande, AZ 85122, USA",32.88602,-111.6999556,ROOFTOP
242,"33750 North Dove Lakes Drive, Cave Creek, Arizona, 85331","33750 N Dove Lakes Dr, Cave Creek, AZ 85331, USA",33.7896562,-111.9922163,ROOFTOP
250,"1200 E Saint Andrews Blvd Building #A, Chandler, Arizona, 85249","1200 E St Andrews Blvd Building #A, Chandler, AZ 85249, USA",33.2120374,-111.8209468,ROOFTOP
252,"5692 W. North Loop Road, Chandler, Arizona, 85226","5692 W North Loop Rd, Phoenix, AZ 85048, USA",33.2700973,-111.9899042,ROOFTOP
