Place,Course ID,Place ID
"Big Spring Lake Golf, Albertville, AL",1,ChIJP1xCrhUDiogRa2h0Hy94nLQ
"Smoky Eagle Golf Course, Albertville, AL",2,ChIJP1xCrhUDiogRa2h0Hy94nLQ
"Willow Brook Golf Course, Albertville, AL",3,ChIJdfAU-9sFiogRWKi6VF9FWP4
"Willow Point Country Club, Alexander City, AL",4,ChIJjX-SmqwTjIgRFDOO41-2FEw
"Aliceville Golf Course, Aliceville, AL",5,ChIJ3ZO-Dxt-hogRbbpAhmUZ9-A
"Alpine Bay Resort, Alpine, AL",6,ChIJjzlwsABhiYgRWlegh0VpCt4
"Whippoorwill Golf Course, Altoona, AL",7,ChIJ_9R4CajyiYgRhobvUyWsefA
"Andalusia Country Club, Andalusia, AL",8,ChIJje5He1vpkYgRNPNFbM-xH3Q
"Evans Barnes Golf Course, Andalusia, AL",9,ChIJG_a0nmbukYgRTzQxIo7EUTs
"Old Pine Golf Course, Andalusia, AL",10,ChIJmUuhLPnwkYgRb35Xgifkcxg
"Anderson Golf Club, Anderson, AL",11,ChIJYb-pNp3BYogRhlVkTu14HBU
"Anniston Country Club, Anniston, AL",12,ChIJdzzUNM6zi4gRM2oBgLdjjHY
"Anniston Municipal Golf Course, Anniston, AL",13,ChIJXbpZ67Ozi4gRrSJb0oA7BxM
"Cane Creek Golf Course, Anniston, AL",14,ChIJOzoeQtGyi4gRX1OA0r5P2Jo
"Indian Oaks Golf Club, Anniston, AL",15,ChIJj4oxQzRLiogRL-S3p3muwtg
"Pine Hill Country Club, Anniston, AL",16,ChIJIfPo31ysi4gRDxwc3rqdIgI
"Brookside Golf Course, Arab, AL",17,ChIJd04IwvTmiYgRe5cOjCtDDko
"Twin Lakes Golf Club, Arab, AL",18,ChIJ0RhJ-iHkiYgRYCzqorecfhE
"Clay County Public Golf Course, Ashland, AL",19,ChIJHV17aC2Xi4gRcam5cXNBfT8
"Canebrake Golf Club, Athens, AL",20,ChIJo1HyjnKKYogRpFAKzG_n0rY
"Southern Gayles Golf Course, Athens, AL",21,ChIJPUu_txFfYogRtkyk37NCBKk
"Atmore Country Club, Atmore, AL",22,ChIJj7eMJYKCmogR31vN0BdXPn8
"Wills Creek Country Club, Attalla, AL",23,ChIJNSbqyVMjiogRoH-D7M6AFFs
"Auburn Links at Mill Creek, Auburn, AL",24,ChIJQ25dPFnxjIgRDrkUOXYGzWQ
"Auburn University Golf Club, Auburn, AL",25,ChIJtajIPEzzjIgRPHT1_3h3ljI
"Indian Pines Golf Course, Auburn, AL",26,ChIJ4duUxKXyjIgRJJP99EA_kQs
"Moore's Mill Golf Club, Auburn, AL",27,ChIJHfbvhG3yjIgRbcxDKN72Hwg
"The Greens At Auburn, Auburn, AL",28,ChIJywZA-03xjIgRuhMBBAK29Aw
"Holly Hills Country Club, Bay Minette, AL",29,ChIJs8z03_5jmogR9Jd0f-xrbio
"Brook/Graveyard at Bent Brook Golf Course, Bessemer, AL",30,ChIJrViwDKbeiIgRt3_1Kf_xDxM
"Frank House Municipal Golf Course, Bessemer, AL",31,ChIJCwwF09HdiIgRWbfW6VFNAlI
"Graveyard/Windmill at Bent Brook Golf Course, Bessemer, AL",32,ChIJrViwDKbeiIgRt3_1Kf_xDxM
"Windmill/Brook at Bent Brook Golf Course, Bessemer, AL",33,ChIJrViwDKbeiIgRt3_1Kf_xDxM
"Woodward Golf Club, Bessemer, AL",34,ChIJT_xVlOngiIgRbp8pnu4PGJs
"Clear Creek Golf Club, Boaz, AL",35,ChIJdwpCdGYZiogR1TdaRwD8Eck
"Country Club of Brewton, Brewton, AL",36,ChIJkVNsbclJkIgR6fX9UOnzCQ8
"Dogwood Hills Golf Course, Brewton, AL",37,ChIJS_garJdHkIgRyljVLeY1KFI
"Brundidge Country Club, Brundidge, AL",38,ChIJgYDQoQ2OjYgRJDa6WSphr3Q
"Hidden Valley Golf Course, Bryant, AL",39,ChIJ7U895JKtYYgRWvwoEoodjfg
"Choctaw Country Club, Butler, AL",40,ChIJE5kfAT7ihIgRGeiwnf3LPsI
"Timberline Golf Club, Calera, AL",41,ChIJQ2gqPHMyiYgRJhlgHvSeqbY
"Deer Haven Golf Club at Roland Cooper State Park, Camden, AL",42,ChIJWWiTfHaWj4gRh_OZZiUm7bU
"Cherokee Country Club, Centre, AL",43,ChIJR-iCQ_hgiogRIFgRozlJPps
"Cahaba Falls Country Club, Centreville, AL",44,ChIJTQFZMvczj4gRd-YjLQ1b7as
"Deerfield Golf Club, Chatom, AL",45,ChIJy8lwrkIom4gRns0KNZ2V7lk
"Deer Valley Links Golf Course, Chelsea, AL",46,ChIJjTaESpI8iYgRJ4pZNJouOQk
"Mill Creek Golf Course, Citronelle, AL",47,ChIJTbCW5bMam4gROSaA59feAkA
"Clanton Country Club, Clanton, AL",48,ChIJweq0gbnHjogRBh-0sIXQ2V8
"Magnolia Meadows Golf Course, Columbiana, AL",49,ChIJs_SUgrQ3iYgRfBgELEfBEk8
"Coosa Pines Golf Club, Coosa Pines, AL",50,ChIJp7nE5mpciYgR_tz3Racjvns
"Horse Creek Golf Course, Dora, AL",51,ChIJu8dqAQdYiIgR66ylQ72f7-A
"Chesley Oaks Golf Club, Cullman, AL",52,ChIJIde8B4XEiYgRugB1CVa1fCM
"Terri Pines Country Club, Cullman, AL",53,ChIJB2K0iLjMiYgRpqD0PJ1G9X0
"StillWaters Golf Club - The Highlands Course, Dadeville, AL",54,ChIJHds2HtFujIgRtvqEMjE0Ix8
"Dogwood/Pines at TimberCreek Golf Club, Daphne, AL",55,ChIJMdYbRphCmogRQUbURnETLoE
"Lake Forest Golf Club, Daphne, AL",56,ChIJhRZjRVhCmogREXN68Tc2EYQ
"Magnolia/Dogwood at TimberCreek Golf Club, Daphne, AL",57,ChIJMdYbRphCmogRQUbURnETLoE
"Pines/Magnolia at TimberCreek Golf Club, Daphne, AL",58,ChIJMdYbRphCmogRQUbURnETLoE
"Isle Dauphine Golf Club, Dauphin Island, AL",59,ChIJ94aKunEsmogRPN5bgdIlD6o
"Burningtree Country Club, Decatur, AL",60,ChIJ2-18VfqAYogR_FQNV3O7Zos
"Decatur Country Club, Decatur, AL",61,ChIJDx8gJbeGYogRpSNM7F_BK5M
"Point Mallard Golf Course, Decatur, AL",62,ChIJlcGLPMWAYogRMKGxFrDjM7M
"Demopolis Country Club, Demopolis, AL",63,ChIJmxHwQaOihYgR6JfxGtZ6ORg
"The Ravine Golf Course, Demopolis, AL",64,ChIJJawyIZaZhYgR6PoE5Ozfwvg
"Dothan Country Club, Dothan, AL",65,ChIJIZI8RYuSkogReiPFVNVmgLw
"Dothan National Golf Club, Dothan, AL",66,N/A
"Green Hill Golf Course, Dothan, AL",67,N/A
"Highlands/Marshwood at Highland Oaks Golf Course, Dothan, AL",68,ChIJK4Ed_VqMkogRRiq-hrY8O6s
"Kilgore's Roundabout Plantation Golf Course, Cowarts, AL",69,ChIJg-gCKqmVkogRDpSr4dROoMY
"Magnolia/Highlands at Highland Oaks Golf Course, Dothan, AL",70,ChIJK4Ed_VqMkogRRiq-hrY8O6s
"Marshwood/Magnolia at Highland Oaks Golf Course, Dothan, AL",71,ChIJK4Ed_VqMkogRRiq-hrY8O6s
"Short at Highland Oaks Golf Course, Dothan, AL",72,ChIJK4Ed_VqMkogRRiq-hrY8O6s
"High Point Golf Club, Eight Mile, AL",73,ChIJUdfpIDNTmogRt1u1NMI28zk
"Elba Country Club, Elba, AL",74,ChIJH3cP34YFkogRtgd7QSnI7Qs
"Soldiers Creek Golf Club, Elberta, AL",75,ChIJwf9DzfoJmogR46gZWarPGPk
"Percy Marcum Golf Course, Empire, AL",76,ChIJq-zqqrBViIgRMGDDtJmuReQ
"Enterprise Country Club, Enterprise, AL",77,ChIJzTKQFRRukogRi3dmQ5bpPtE
"Country Club of Alabama, Eufaula, AL",78,ChIJ5Txs_Y5GjYgRMppOQw5smII
"Eufaula Country Club, Eufaula, AL",79,ChIJn9ze3UNHjYgRDKgU3yHJ7qA
"Evergreen Golf Club, Evergreen, AL",80,ChIJKak2GMHSkYgRKZsZZoq9Z5Q
"Quail Creek Golf Course, Fairhope, AL",81,ChIJtQOScbJqmogRnvaxEg52m-8
"Rock Creek Golf Club, Fairhope, AL",82,ChIJh2iBU6RBmogR5qiJV0bndWY
"Fayette Country Club, Fayette, AL",83,ChIJgXbcTXZJhogRIwZWe0keSP4
