Address,Course ID
"Big Spring Lake Golf, Albertville, AL",1
"Smoky Eagle Golf Course, Albertville, AL",2
"Willow Brook Golf Course, Albertville, AL",3
"Willow Point Country Club, Alexander City, AL",4
"Aliceville Golf Course, Aliceville, AL",5
"Alpine Bay Resort, Alpine, AL",6
"Whippoorwill Golf Course, Altoona, AL",7
"Andalusia Country Club, Andalusia, AL",8
"Evans Barnes Golf Course, Andalusia, AL",9
"Old Pine Golf Course, Andalusia, AL",10
"Anderson Golf Club, Anderson, AL",11
"Anniston Country Club, Anniston, AL",12
"Anniston Municipal Golf Course, Anniston, AL",13
"Cane Creek Golf Course, Anniston, AL",14
"Indian Oaks Golf Club, Anniston, AL",15
"Pine Hill Country Club, Anniston, AL",16
"Brookside Golf Course, Arab, AL",17
"Twin Lakes Golf Club, Arab, AL",18
"Clay County Public Golf Course, Ashland, AL",19
"Canebrake Golf Club, Athens, AL",20
"Southern Gayles Golf Course, Athens, AL",21
"Atmore Country Club, Atmore, AL",22
"Wills Creek Country Club, Attalla, AL",23
"Auburn Links at Mill Creek, Auburn, AL",24
"Auburn University Golf Club, Auburn, AL",25
"Indian Pines Golf Course, Auburn, AL",26
"Moore's Mill Golf Club, Auburn, AL",27
"The Greens At Auburn, Auburn, AL",28
"Holly Hills Country Club, Bay Minette, AL",29
"Brook/Graveyard at Bent Brook Golf Course, Bessemer, AL",30
"Frank House Municipal Golf Course, Bessemer, AL",31
"Graveyard/Windmill at Bent Brook Golf Course, Bessemer, AL",32
"Windmill/Brook at Bent Brook Golf Course, Bessemer, AL",33
"Woodward Golf Club, Bessemer, AL",34
"Clear Creek Golf Club, Boaz, AL",35
"Country Club of Brewton, Brewton, AL",36
"Dogwood Hills Golf Course, Brewton, AL",37
"Brundidge Country Club, Brundidge, AL",38
"Hidden Valley Golf Course, Bryant, AL",39
"Choctaw Country Club, Butler, AL",40
"Timberline Golf Club, Calera, AL",41
"Deer Haven Golf Club at Roland Cooper State Park, Camden, AL",42
"Cherokee Country Club, Centre, AL",43
"Cahaba Falls Country Club, Centreville, AL",44
"Deerfield Golf Club, Chatom, AL",45
"Deer Valley Links Golf Course, Chelsea, AL",46
"Mill Creek Golf Course, Citronelle, AL",47
"Clanton Country Club, Clanton, AL",48
"Magnolia Meadows Golf Course, Columbiana, AL",49
"Coosa Pines Golf Club, Coosa Pines, AL",50
"Horse Creek Golf Course, Dora, AL",51
"Chesley Oaks Golf Club, Cullman, AL",52
"Terri Pines Country Club, Cullman, AL",53
"StillWaters Golf Club - The Highlands Course, Dadeville, AL",54
"Dogwood/Pines at TimberCreek Golf Club, Daphne, AL",55
"Lake Forest Golf Club, Daphne, AL",56
"Magnolia/Dogwood at TimberCreek Golf Club, Daphne, AL",57
"Pines/Magnolia at TimberCreek Golf Club, Daphne, AL",58
"Isle Dauphine Golf Club, Dauphin Island, AL",59
"Burningtree Country Club, Decatur, AL",60
"Decatur Country Club, Decatur, AL",61
"Point Mallard Golf Course, Decatur, AL",62
"Demopolis Country Club, Demopolis, AL",63
"The Ravine Golf Course, Demopolis, AL",64
"Dothan Country Club, Dothan, AL",65
"Dothan National Golf Club, Dothan, AL",66
"Green Hill Golf Course, Dothan, AL",67
"Highlands/Marshwood at Highland Oaks Golf Course, Dothan, AL",68
"Kilgore's Roundabout Plantation Golf Course, Cowarts, AL",69
"Magnolia/Highlands at Highland Oaks Golf Course, Dothan, AL",70
"Marshwood/Magnolia at Highland Oaks Golf Course, Dothan, AL",71
"Short at Highland Oaks Golf Course, Dothan, AL",72
"High Point Golf Club, Eight Mile, AL",73
"Elba Country Club, Elba, AL",74
"Soldiers Creek Golf Club, Elberta, AL",75
"Percy Marcum Golf Course, Empire, AL",76
"Enterprise Country Club, Enterprise, AL",77
"Country Club of Alabama, Eufaula, AL",78
"Eufaula Country Club, Eufaula, AL",79
"Evergreen Golf Club, Evergreen, AL",80
"Quail Creek Golf Course, Fairhope, AL",81
"Rock Creek Golf Club, Fairhope, AL",82
"Fayette Country Club, Fayette, AL",83
"Dogwood Hills Golf Club, Flat Rock, AL",84
"Blackberry Trail Golf Course, Florence, AL",85
"Glenlakes Golf Club - Lakes Course, Foley, AL",86
"Glenlakes Golf Club - Vista/Dunes Course, Foley, AL",87
"Gulf Links Golf Center, Foley, AL",88
"Magnolia Springs Golf, Foley, AL",89
"Desoto Country Club, Fort Payne, AL",90
"Terrapin Hills Country Club, Fort Payne, AL",91
"Blue/Red at Silver Wings Golf Course, Fort Rucker, AL",92
"Red/White at Silver Wings Golf Course, Fort Rucker, AL",93
"White/Blue at Silver Wings Golf Course, Fort Rucker, AL",94
"Gadsden Country Club, Gadsden, AL",95
"Twin Bridges Golf Club, Gadsden, AL",96
"Castle Pines Country Club, Gardendale, AL",97
"River Oaks Golf Course, Geneva, AL",98
"Backbreaker/Mindbreaker at Silver Lakes, Glencoe, AL",99
"Heartbreaker/Backbreaker at Silver Lakes, Glencoe, AL",100
"Links at Briarmeade, Glencoe, AL",101
"Mindbreaker/Heartbreaker at Silver Lakes, Glencoe, AL",102
"Short at Silver Lakes, Glencoe, AL",103
"Hatchett Creek Golf Club, Goodwater, AL",104
"Blue/Red at Mountain View Golf Course, Graysville, AL",105
"Red/White at Mountain View Golf Course, Graysville, AL",106
"White/Blue at Mountain View Golf Course, Graysville, AL",107
