Place,Course ID,Place ID
"Alpine Bay Golf Club, Alpine, AL",11318,ChIJyYCoBAdhiYgRAN0uDCZgWi0
"Andalusia Country Club, Andalusia, AL",11385,ChIJje5He1vpkYgRNPNFbM-xH3Q
"Anniston Country Club, Anniston, AL",11323,ChIJdzzUNM6zi4gRM2oBgLdjjHY
"Aroostook Golf Course, Montgomery, AL",11399,ChIJZwLqr_cujIgRzF6V-NQTd8s
"Aroostook Golf Course, Montgomery, AL",11400,ChIJZwLqr_cujIgRzF6V-NQTd8s
"Arrowhead Country Club, Montgomery, AL",11328,ChIJ8VMowi0sjIgRrFkdcmux8s4
"Atmore Country Club, Atmore, AL",11364,ChIJj7eMJYKCmogR31vN0BdXPn8
"Auburn University Club, Auburn, AL",11270,ChIJtajIPEzzjIgRPHT1_3h3ljI
"Azalea City Golf Course, Mobile, AL",11268,ChIJj5L0LlWtm4gRvAfI0q97X7I
"Ballantrae Golf Course, Pelham, AL",11378,ChIJ7awo-CgliYgRyC4TL51yMjg
"Becky Peirce Municipal Golf Course, Huntsville, AL",11254,ChIJITcG59NsYogRhpoxNsc57MY
"Bent Brook Golf Course, Bessemer, AL",11279,ChIJrViwDKbeiIgRt3_1Kf_xDxM
"Bent Brook Golf Course, Bessemer, AL",17721,ChIJrViwDKbeiIgRt3_1Kf_xDxM
"Bent Brook Golf Course, Bessemer, AL",11280,ChIJrViwDKbeiIgRt3_1Kf_xDxM
"Big Spring Lake Country Club, Albertville, AL",11263,ChIJP1xCrhUDiogRa2h0Hy94nLQ
"Blackberry Trail, Florence, AL",18071,ChIJT4yGXRM2fYgRgcoPM7AJwLM
"Boaz Country Club, Boaz, AL",11406,ChIJdwpCdGYZiogR1TdaRwD8Eck
"Briarmeade Golf Club, Glencoe, AL",11393,ChIJqXUjcIw4iogRgudLBbrqYeU
"Broken Arrow Golf Course, Scottsboro, AL",11295,ChIJ8QCBPufuYYgRXg7MJfnSOnw
"Brundidge Country Club, Brundidge, AL",13948,ChIJgYDQoQ2OjYgRJDa6WSphr3Q
"Burningtree Country Club, Decatur, AL",11322,ChIJ2-18VfqAYogR_FQNV3O7Zos
"Cahaba Falls, Centerville, AL",11266,ChIJTQFZMvczj4gRd-YjLQ1b7as
"Cambrian Ridge Golf Course, Greenville, AL",14989,ChIJq-bGOBo5jogReoML6qtsy1Q
"Cambrian Ridge Golf Course, Greenville, AL",14990,ChIJq-bGOBo5jogReoML6qtsy1Q
"Cambrian Ridge Golf Course, Greenville, AL",14988,ChIJq-bGOBo5jogReoML6qtsy1Q
"Cane Creek Golf Course, Anniston, AL",11335,ChIJOzoeQtGyi4gRX1OA0r5P2Jo
"Canebrake Golf Club, Athens, AL",11348,ChIJo1HyjnKKYogRpFAKzG_n0rY
"Capitol Hill Golf Course, Prattville, AL",11277,ChIJ80qbN3CFjogR3RlHYBv_PNU
"Capitol Hill Golf Course, Prattville, AL",11276,ChIJ80qbN3CFjogR3RlHYBv_PNU
"Capitol Hill Golf Course, Prattville, AL",11278,ChIJ80qbN3CFjogR3RlHYBv_PNU
"Castle Pines Country Club, Gardendale, AL",11374,ChIJzVPpicQFiYgRuLB5F9GOXa8
"Cedar Ridge Golf Course, Decatur, AL",11376,ChIJIf2fjF-DYogRfz25suez53M
"Cherokee Country Club, Centre, AL",11373,ChIJR-iCQ_hgiogRIFgRozlJPps
"Cherokee Ridge Country Club, Union Grove, AL",11301,ChIJnRWep2bgiYgRBaXATPcpNKc
"Chesley Oaks Golf Course, Cullman, AL",11334,ChIJIde8B4XEiYgRugB1CVa1fCM
"Choctaw Country Club, Butler, AL",11396,ChIJE5kfAT7ihIgRGeiwnf3LPsI
"Cider Ridge Golf Club, Oxford, AL",14951,ChIJexd9LEiui4gR0xG4B2PiLZI
"Clanton Country Club, Clanton, AL",11408,ChIJweq0gbnHjogRBh-0sIXQ2V8
"Colonial Golf Club, Meridianville, AL",11407,ChIJyekRGo5AYogRIaui2IFXLpc
"Coosa Pines Country Club, Childersburg, AL",11382,ChIJp7nE5mpciYgR_tz3Racjvns
"Cottonwood Golf Club, Montgomery, AL",11272,ChIJO3UgPYDUjYgR0H7S7lmejEY
"Country Club of Alabama, Eufaula, AL",11359,ChIJ5Txs_Y5GjYgRMppOQw5smII
"Country Club of Birmingham, Birmingham, AL",11370,ChIJ97v5QiMaiYgR6O2tml_2obI
"Country Club of Birmingham, Birmingham, AL",11271,ChIJ97v5QiMaiYgR6O2tml_2obI
"Country Club of Mobile, Mobile, AL",14758,ChIJ65Lsu1xNmogRZhwYruiH074
"Craft Farms, Gulf Shores, AL",20907,ChIJTYCCJHIFmogRMMuZ4VBEr04
"Craft Farms, Gulf Shores, AL",11401,ChIJTYCCJHIFmogRMMuZ4VBEr04
"Cross Creek Golf Course, Hanceville, AL",14168,ChIJmWiU3Pm1iYgRLpwzrmC-POA
"Cumberland Lake Golf Course, Pinson, AL",11294,ChIJTXC6AkmniYgR1k5zMJZt8xg
"Cypress Lakes, Muscle Shoals, AL",11269,ChIJW-WP0sFOfYgRhK9yEW1peFw
"Cypress Tree Golf Course, Maxwell AFB, AL",11306,ChIJ3YARaKCGjogRffcTtfGg8tk
"Cypress Tree Golf Course, Maxwell AFB, AL",11307,ChIJ3YARaKCGjogRffcTtfGg8tk
"Decatur Country Club, Decatur, AL",11305,ChIJDx8gJbeGYogRpSNM7F_BK5M
"Deer Haven Golf Club, Camden, AL",20654,ChIJWWiTfHaWj4gRh_OZZiUm7bU
"Demopolis Country Club, Demoplois, AL",11333,ChIJmxHwQaOihYgR6JfxGtZ6ORg
"DeSoto Country Club, Ft. Payne, AL",11404,ChIJZ4fawnHWYYgR2QEJqsQGwz4
"Dothan Country Club, Dothan, AL",14887,ChIJIZI8RYuSkogReiPFVNVmgLw
"Dothan National Golf Club, Dothan, AL",20905,N/A
"Enterprise Country Club, Enterprise, AL",11388,ChIJzTKQFRRukogRi3dmQ5bpPtE
"Eufaula Country Club, Eufaula, AL",11362,ChIJn9ze3UNHjYgRDKgU3yHJ7qA
"Evergreen Golf Club, Evergreen, AL",11365,ChIJKak2GMHSkYgRKZsZZoq9Z5Q
"FarmLinks Golf Club, Sylacauga, AL",11313,ChIJeyapxN9NiYgRdCRgPEhctuc
"Fayette Country Club, Fayettte, AL",11347,ChIJgXbcTXZJhogRIwZWe0keSP4
"Fox Ridge Golf Course, Ozark, AL",11298,ChIJw-XOAw5-kogR9n5QUdcAHgc
"Fox Run Golf Course, Meridianville, AL",11356,ChIJ4zQo-R8_YogRPh1u8HxU0cg
"Frank House Mun. Golf Course, Bessemer, AL",11281,ChIJCwwF09HdiIgRWbfW6VFNAlI
"Gadsden Country Club, Gadsden, AL",11319,ChIJP0UobGA5iogRdMirrY3l-PY
"Gateway Park Golf Course, Montgomery, AL",11351,ChIJYbgBtsWAjogRkrDPQlsxENo
"General Golf Course, Lawrence, AL",20655,ChIJuxKiveq4YogRcrBRPmoijls
"Glenlakes Golf Club, Foley, AL",11257,ChIJT45V4iEPmogRA3BX8QF_kuA
"Glenlakes Golf Club, Foley, AL",21047,ChIJT45V4iEPmogRA3BX8QF_kuA
"Glenlakes Golf Club, Foley, AL",11258,ChIJT45V4iEPmogRA3BX8QF_kuA
"Glenlakes Golf Club, Foley, AL",11259,ChIJT45V4iEPmogRA3BX8QF_kuA
"Goose Pond Colony, Scottsboro, AL",20906,ChIJX2Lz_yXlYYgRny2YyZkYqPQ
"Goose Pond Plantation, Scottsboro, AL",11296,ChIJa_s-bmPwYYgRldiVENUCL9Q
"Grand National Golf Course, Opelika, AL",11383,ChIJkYSs4HiSjIgRTWnZj5hw-hw
"Grand National Golf Course, Opelika, AL",20852,ChIJkYSs4HiSjIgRTWnZj5hw-hw
"Grand National Golf Course, Opelika, AL",17798,ChIJkYSs4HiSjIgRTWnZj5hw-hw
"Grayson Valley Country Club, Birmingham, AL",11316,ChIJKZKG0xQMiYgR79rMGNn_szk
"Greenville Country Club, Greenville, AL",11289,ChIJHw2WUjs8jogR_at8sCkTFdc
"Greystone, Birmingham, AL",11303,EidHcmV5c3RvbmUgRHIsIEJpcm1pbmdoYW0sIEFMIDM1MjQyLCBVU0EiLiosChQKEgmlO3i22xWJiBHq9vUcwoCCRhIUChIJ07-FWN8RiYgRzlS66gl0UCU
"Greystone, Birmingham, AL",11302,EidHcmV5c3RvbmUgRHIsIEJpcm1pbmdoYW0sIEFMIDM1MjQyLCBVU0EiLiosChQKEgmlO3i22xWJiBHq9vUcwoCCRhIUChIJ07-FWN8RiYgRzlS66gl0UCU
"Gulf Shores Golf Club, Gulf Shores, AL",11343,ChIJTYCCJHIFmogRMMuZ4VBEr04
"Gulf State Park, Gulf Shores, AL",17873,ChIJAf8qlDAEmogROxDShN5jCUY
"Gunter's Landing, Guntersville, AL",11293,ChIJL47REtgBiogR9oLUAjNezsQ
"Hampton Cove, Owens Cross Roads, AL",11260,ChIJGzrhNQcPYogRyH9rGs49n6I
"Hampton Cove, Owens Cross Roads, AL",15032,ChIJGzrhNQcPYogRyH9rGs49n6I
"Heatherwood Hills Country Club, Birmingham, AL",26492,ChIJXy4AoQcYiYgRfiodeJDHwX0
"Heritage Golf Course, Oneonta, AL",11300,ChIJ_SP4PgKRiYgRWNSJptHkIgM
"Heron Lakes Country Club, Mobile, AL",14188,ChIJbZ6_7vhMmogRZ04gG7Gphx8
"Hidden Meadows Golf Club, Northport, AL",11387,ChIJc1mk5pcbhogR8pcfX1nTZ48
"Highland Oaks, Dothan, AL",11290,ChIJK4Ed_VqMkogRRiq-hrY8O6s
"Highland Oaks, Dothan, AL",11291,ChIJK4Ed_VqMkogRRiq-hrY8O6s
"Highland Oaks, Dothan, AL",11292,ChIJK4Ed_VqMkogRRiq-hrY8O6s
"Highland Park Golf Course, Birmingham, AL",11285,ChIJo2Opp0kaiYgRKi0JUZycUlI
"Holly Hills Golf Course, Bay Minette, AL",11398,ChIJs8z03_5jmogR9Jd0f-xrbio
"Hoover Country Club, Birmingham, AL",14007,ChIJx77P0qsYiYgRLbdXY0FNvyo
"Horse Creek Golf Club, Doro, AL",11253,ChIJu8dqAQdYiIgR66ylQ72f7-A
"Huntsville Country Club, Huntsville, AL",11337,ChIJlx5PG3NrYogRpI-dJv1hMOg
"Indian Hills Country Club, Tuscaloosa, AL",14984,ChIJG-pHDqwChogRUaoqtMTakac
"Indian Oaks Golf Club, Anniston, AL",11297,ChIJj4oxQzRLiogRL-S3p3muwtg
"Indian Pines Golf Club, Auburn, AL",11403,ChIJ4duUxKXyjIgRJJP99EA_kQs
"Inverness Country Club, Birmingham,, AL",11345,ChIJ7Zmop88XiYgRKkmOZ0KgaIY
"Isle Dauphine Golf Club, Dauphine Island, AL",11410,ChIJ94aKunEsmogRPN5bgdIlD6o
"Jackson Golf Association, Jackson, AL",18067,ChIJ-bVXhpvJmogRhrXc0OyU2yc
"Juniper Creek, Brewton, AL",11320,ChIJlc350QpIkIgR_xEss0Tn3rw
"Kiva Dunes, Gulf Shores, AL",11321,ChIJOfGe1CsimogRG6SU3fczTkA
"Lagoon Park, Montgomery, AL",11379,ChIJjdM6E4MpjIgR4c-zT4vtXuA
"Lake Forest Yacht & Country Club, Daphne, AL",11299,ChIJhRZjRVhCmogREXN68Tc2EYQ
"Lake Guntersville State Park, Guntersville, AL",17976,ChIJZUGJDi4BiogRsko-g12d2i0
"Lakepoint State Golf Course, Eufaula, AL",11409,ChIJiRsDTf45jYgRrKj9wEkmjxE
"Lakeview Country Club, Greensboro, AL",11255,ChIJ7f-fdojzhYgRsBkyvTmt3v0
"Lakewinds Golf Course, Jasksons Gap, AL",11308,ChIJY8CNcbdzjIgRJRE05GSAlhg
"Lakewood Golf Club, Point Clear, AL",11352,ChIJd66HOz8_mogRZSKs28ZoJcw
"Lakewood Golf Club, Point Clear, AL",11369,ChIJd66HOz8_mogRZSKs28ZoJcw
"Lakewood Golf Course, Phenix City, AL",11405,ChIJxxga9ZjOjIgRx9hksAIM2fU
"Limestone Springs, Oneonta, AL",11284,ChIJ7RVAIm-YiYgRNfqW7FIeK78
"Livingston Country Club, Livingston, AL",11412,ChIJIbXhmoVMhIgRoF4fvqvIYRE
"Magnolia Grove, Semmes, AL",11262,ChIJK0x66wStm4gR34FvibW8tXU
"Magnolia Grove, Semmes, AL",11261,ChIJK0x66wStm4gR34FvibW8tXU
"Marion Military Institute GC, Marion, AL",14008,ChIJKcmmoWtpj4gRyRYC-KJellM
"Mill Creek Golf Course, Citronelle, AL",11264,ChIJTbCW5bMam4gROSaA59feAkA
"Montevallo Golf Club, Montevallo, AL",11338,ChIJs3ZHRWoqiYgRDFOLjzq-SjU
"Montgomery Country Club, Montgomery, AL",11326,ChIJIWoJgLaBjogRj2YRW0up4hw
"Moore's Mill Golf Club, Auburn, AL",11314,ChIJHfbvhG3yjIgRbcxDKN72Hwg
"Mountain Brook Club, Birmingham, AL",11375,ChIJc-WD-agQiYgRCTDpm-Fl9bU
"Mountain View Golf Course, Graysville, AL",11330,ChIJz6EW5Kz9iIgR7qUsq-ByLbE
"Mountain View Golf Course, Graysville, AL",11331,ChIJz6EW5Kz9iIgR7qUsq-ByLbE
"Mountain View Golf Course, Graysville, AL",11332,ChIJz6EW5Kz9iIgR7qUsq-ByLbE
