Address,Course ID
"Alpine Bay Golf Club, Alpine, AL",11318
"Andalusia Country Club, Andalusia, AL",11385
"Anniston Country Club, Anniston, AL",11323
"Aroostook Golf Course, Montgomery, AL",11399
"Aroostook Golf Course, Montgomery, AL",11400
"Arrowhead Country Club, Montgomery, AL",11328
"Atmore Country Club, Atmore, AL",11364
"Auburn University Club, Auburn, AL",11270
"Azalea City Golf Course, Mobile, AL",11268
"Ballantrae Golf Course, Pelham, AL",11378
"Becky Peirce Municipal Golf Course, Huntsville, AL",11254
"Bent Brook Golf Course, Bessemer, AL",11279
"Bent Brook Golf Course, Bessemer, AL",17721
"Bent Brook Golf Course, Bessemer, AL",11280
"Big Spring Lake Country Club, Albertville, AL",11263
"Blackberry Trail, Florence, AL",18071
"Boaz Country Club, Boaz, AL",11406
"Briarmeade Golf Club, Glencoe, AL",11393
"Broken Arrow Golf Course, Scottsboro, AL",11295
"Brundidge Country Club, Brundidge, AL",13948
"Burningtree Country Club, Decatur, AL",11322
"Cahaba Falls, Centerville, AL",11266
"Cambrian Ridge Golf Course, Greenville, AL",14989
"Cambrian Ridge Golf Course, Greenville, AL",14990
"Cambrian Ridge Golf Course, Greenville, AL",14988
"Cane Creek Golf Course, Anniston, AL",11335
"Canebrake Golf Club, Athens, AL",11348
"Capitol Hill Golf Course, Prattville, AL",11277
"Capitol Hill Golf Course, Prattville, AL",11276
"Capitol Hill Golf Course, Prattville, AL",11278
"Castle Pines Country Club, Gardendale, AL",11374
"Cedar Ridge Golf Course, Decatur, AL",11376
"Cherokee Country Club, Centre, AL",11373
"Cherokee Ridge Country Club, Union Grove, AL",11301
"Chesley Oaks Golf Course, Cullman, AL",11334
"Choctaw Country Club, Butler, AL",11396
"Cider Ridge Golf Club, Oxford, AL",14951
"Clanton Country Club, Clanton, AL",11408
"Colonial Golf Club, Meridianville, AL",11407
"Coosa Pines Country Club, Childersburg, AL",11382
"Cottonwood Golf Club, Montgomery, AL",11272
"Country Club of Alabama, Eufaula, AL",11359
"Country Club of Birmingham, Birmingham, AL",11370
"Country Club of Birmingham, Birmingham, AL",11271
"Country Club of Mobile, Mobile, AL",14758
"Craft Farms, Gulf Shores, AL",20907
"Craft Farms, Gulf Shores, AL",11401
"Cross Creek Golf Course, Hanceville, AL",14168
"Cumberland Lake Golf Course, Pinson, AL",11294
"Cypress Lakes, Muscle Shoals, AL",11269
"Cypress Tree Golf Course, Maxwell AFB, AL",11306
"Cypress Tree Golf Course, Maxwell AFB, AL",11307
"Decatur Country Club, Decatur, AL",11305
"Deer Haven Golf Club, Camden, AL",20654
"Demopolis Country Club, Demoplois, AL",11333
"DeSoto Country Club, Ft. Payne, AL",11404
"Dothan Country Club, Dothan, AL",14887
"Dothan National Golf Club, Dothan, AL",20905
"Enterprise Country Club, Enterprise, AL",11388
"Eufaula Country Club, Eufaula, AL",11362
"Evergreen Golf Club, Evergreen, AL",11365
"FarmLinks Golf Club, Sylacauga, AL",11313
"Fayette Country Club, Fayettte, AL",11347
"Fox Ridge Golf Course, Ozark, AL",11298
"Fox Run Golf Course, Meridianville, AL",11356
"Frank House Mun. Golf Course, Bessemer, AL",11281
"Gadsden Country Club, Gadsden, AL",11319
"Gateway Park Golf Course, Montgomery, AL",11351
"General Golf Course, Lawrence, AL",20655
"Glenlakes Golf Club, Foley, AL",11257
"Glenlakes Golf Club, Foley, AL",21047
"Glenlakes Golf Club, Foley, AL",11258
"Glenlakes Golf Club, Foley, AL",11259
"Goose Pond Colony, Scottsboro, AL",20906
"Goose Pond Plantation, Scottsboro, AL",11296
"Grand National Golf Course, Opelika, AL",11383
"Grand National Golf Course, Opelika, AL",20852
"Grand National Golf Course, Opelika, AL",17798
"Grayson Valley Country Club, Birmingham, AL",11316
"Greenville Country Club, Greenville, AL",11289
"Greystone, Birmingham, AL",11303
"Greystone, Birmingham, AL",11302
"Gulf Shores Golf Club, Gulf Shores, AL",11343
"Gulf State Park, Gulf Shores, AL",17873
"Gunter's Landing, Guntersville, AL",11293
"Hampton Cove, Owens Cross Roads, AL",11260
"Hampton Cove, Owens Cross Roads, AL",15032
"Heatherwood Hills Country Club, Birmingham, AL",26492
"Heritage Golf Course, Oneonta, AL",11300
